crop,year,n_provinces,provinces
corn,2018,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2019,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2020,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2021,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2022,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2023,21,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;福建;贵州;辽宁;重庆;陕西;黑龙江
corn,2024,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
cotton,2004,14,天津;安徽;山东;新疆;江苏;江西;河北;河南;浙江;湖北;湖南;甘肃;辽宁;陕西
cotton,2005,13,安徽;山东;新疆;江苏;江西;河北;河南;浙江;湖北;湖南;甘肃;辽宁;陕西
cotton,2006,15,天津;安徽;山东;山西;新疆;江苏;江西;河北;河南;浙江;湖北;湖南;甘肃;辽宁;陕西
cotton,2007,15,天津;安徽;山东;山西;新疆;江苏;江西;河北;河南;浙江;湖北;湖南;甘肃;辽宁;陕西
cotton,2008,14,天津;安徽;山东;山西;新疆;江苏;江西;河北;河南;浙江;湖北;湖南;甘肃;陕西
cotton,2009,14,天津;安徽;山东;山西;新疆;江苏;江西;河北;河南;浙江;湖北;湖南;甘肃;陕西
cotton,2010,13,天津;安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2011,13,天津;安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2012,12,安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2013,12,安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2014,12,安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2015,12,安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2016,12,安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2017,12,安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2018,12,安徽;山东;山西;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2019,11,安徽;山东;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2020,11,安徽;山东;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2021,11,安徽;山东;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2022,11,安徽;山东;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
cotton,2024,11,安徽;山东;新疆;江苏;江西;河北;河南;湖北;湖南;甘肃;陕西
peanut,2004,7,安徽;山东;江苏;河北;河南;福建;辽宁
peanut,2005,14,四川;安徽;山东;广东;广西;江苏;河北;河南;海南;湖北;福建;辽宁;重庆;陕西
peanut,2006,13,四川;安徽;山东;广东;广西;江苏;河北;河南;海南;福建;辽宁;重庆;陕西
peanut,2007,14,四川;安徽;山东;广东;广西;江苏;河北;河南;海南;湖北;福建;辽宁;重庆;陕西
peanut,2008,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2009,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2010,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2011,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2012,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2013,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2014,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2015,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2016,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2017,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2018,10,四川;安徽;山东;广东;广西;河北;河南;福建;辽宁;重庆
peanut,2019,6,吉林;安徽;江西;河北;福建;辽宁
peanut,2020,13,吉林;四川;安徽;山东;广东;广西;江西;河北;河南;湖北;湖南;福建;辽宁
peanut,2021,14,吉林;四川;安徽;山东;广东;广西;江西;河北;河南;海南;湖北;湖南;福建;辽宁
peanut,2022,13,吉林;四川;安徽;山东;广东;广西;江西;河北;河南;湖北;湖南;福建;辽宁
peanut,2023,12,吉林;四川;安徽;山东;广东;广西;江西;河北;河南;湖北;湖南;福建
peanut,2024,13,吉林;四川;安徽;山东;广东;广西;江西;河北;河南;湖北;湖南;福建;辽宁
rapeseed,2004,16,上海;云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2005,16,上海;云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2006,15,上海;云南;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2007,15,上海;云南;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2008,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2009,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2010,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2011,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2012,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2013,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2014,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2015,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2016,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2017,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2018,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2019,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2020,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2021,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2022,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2023,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rapeseed,2024,15,云南;内蒙古;四川;安徽;江苏;江西;河南;浙江;湖北;湖南;甘肃;贵州;重庆;陕西;青海
rice_early_indica,2004,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2005,4,安徽;江西;浙江;福建
rice_early_indica,2006,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2007,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2008,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2009,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2010,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2011,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2012,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2013,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2014,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2015,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2016,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2017,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2018,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2019,4,安徽;江西;浙江;福建
rice_early_indica,2020,4,安徽;江西;浙江;福建
rice_early_indica,2021,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2022,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2023,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_early_indica,2024,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_japonica,2004,16,上海;云南;内蒙古;吉林;天津;宁夏;安徽;山东;山西;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2005,16,上海;云南;内蒙古;吉林;天津;宁夏;安徽;山东;山西;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2006,15,上海;云南;内蒙古;吉林;天津;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2007,15,上海;云南;内蒙古;吉林;天津;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2008,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2009,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2010,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2011,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2012,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2013,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2014,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2015,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2016,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2017,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2018,13,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;湖北;辽宁;黑龙江
rice_japonica,2019,12,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;辽宁;黑龙江
rice_japonica,2020,6,内蒙古;吉林;江苏;河北;辽宁;黑龙江
rice_japonica,2021,12,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;辽宁;黑龙江
rice_japonica,2022,12,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;辽宁;黑龙江
rice_japonica,2023,12,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;辽宁;黑龙江
rice_japonica,2024,12,云南;内蒙古;吉林;宁夏;安徽;山东;江苏;河北;河南;浙江;辽宁;黑龙江
rice_late_indica,2004,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2005,4,安徽;江西;浙江;福建
rice_late_indica,2006,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2007,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2008,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2009,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2010,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2011,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2012,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2013,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2014,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2015,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2016,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2017,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2018,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2019,4,安徽;江西;浙江;福建
rice_late_indica,2020,4,安徽;江西;浙江;福建
rice_late_indica,2021,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2022,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2023,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_late_indica,2024,9,安徽;广东;广西;江西;浙江;海南;湖北;湖南;福建
rice_mid_indica,2004,11,四川;安徽;江西;河南;浙江;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2005,10,四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2006,10,四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2007,10,四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2008,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2009,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2010,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2011,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2012,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2013,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2014,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2015,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2016,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2017,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2018,11,云南;四川;安徽;江苏;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2019,6,安徽;江苏;江西;河南;湖北;福建
rice_mid_indica,2020,6,安徽;江苏;江西;河南;湖北;福建
rice_mid_indica,2021,13,云南;四川;安徽;广西;江苏;江西;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2022,6,安徽;江苏;江西;河南;湖北;福建
rice_mid_indica,2023,13,云南;四川;安徽;广西;江苏;江西;河南;湖北;湖南;福建;贵州;重庆;陕西
rice_mid_indica,2024,13,云南;四川;安徽;广西;江苏;江西;河南;湖北;湖南;福建;贵州;重庆;陕西
soybean,2004,6,内蒙古;吉林;山西;河北;辽宁;黑龙江
soybean,2005,6,内蒙古;吉林;山西;河北;辽宁;黑龙江
soybean,2006,13,云南;内蒙古;吉林;安徽;山东;山西;河北;河南;湖北;辽宁;重庆;陕西;黑龙江
soybean,2007,12,云南;内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2008,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2009,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2010,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2011,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2012,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2013,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2014,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2015,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2016,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2017,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2018,11,内蒙古;吉林;安徽;山东;山西;河北;河南;辽宁;重庆;陕西;黑龙江
soybean,2019,6,内蒙古;吉林;山西;河北;辽宁;黑龙江
soybean,2020,6,内蒙古;吉林;山西;河北;辽宁;黑龙江
soybean,2021,13,内蒙古;吉林;四川;安徽;山东;山西;江苏;河北;河南;湖北;辽宁;陕西;黑龙江
soybean,2022,6,内蒙古;吉林;山西;河北;辽宁;黑龙江
soybean,2023,6,内蒙古;吉林;山西;河北;辽宁;黑龙江
soybean,2024,13,内蒙古;吉林;四川;安徽;山东;山西;江苏;河北;河南;湖北;辽宁;陕西;黑龙江
wheat,2004,21,上海;云南;内蒙古;北京;四川;天津;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;贵州;重庆;陕西;青海;黑龙江
wheat,2005,21,上海;云南;内蒙古;北京;四川;天津;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;贵州;重庆;陕西;青海;黑龙江
wheat,2006,21,上海;云南;内蒙古;北京;四川;天津;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;贵州;重庆;陕西;青海;黑龙江
wheat,2007,20,上海;云南;内蒙古;北京;四川;天津;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;重庆;陕西;青海;黑龙江
wheat,2008,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2009,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2010,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2011,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2012,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2013,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2014,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2015,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2016,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2017,15,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2018,14,云南;内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西
wheat,2019,14,内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2020,14,内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2021,14,内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2022,14,内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西;黑龙江
wheat,2023,13,内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西
wheat,2024,13,内蒙古;四川;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;陕西
