indicator,commodity,casm_code,casm_world_code,region,boundary,direct_or_lifecycle,includes_feed,includes_land_use_change,includes_processing,includes_transport,source_year,source_reference,imputed_flag,imputation_rule,can_sum_with_other_commodity_coefficients,recommended_account,double_counting_risk,audit_note
carbon,Soybean meal,SOYM,SBM,WLD,,review,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
carbon,Rapeseed,RAPS,RBS,WLD,,review,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
carbon,Rapeseed oil (canola),RAPO,RBO,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Rapeseed meal,RAPM,RBM,WLD,,review,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
carbon,Groundnuts (peanuts),GRDS,NBS,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Groundnut oil,GRDO,NBO,WLD,,review,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
carbon,Groundnut meal,GRDM,NBM,WLD,,review,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
carbon,Seed cotton,COTT,CTN,WLD,,review,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
carbon,Sugar (cane),SUGA,SUG,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Sugar (beet),SUGA,SUG,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Sugar cane,SUGC,SCA,WLD,cradle-to-retail LCA (as refined cane sugar),lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Sugar beet,SUGB,SBE,WLD,cradle-to-retail LCA (as refined beet sugar),lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Fruit (apples),FRTO,,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Fruit (aggregate avg),FRTO,,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Vegetables (tomatoes),VEGT,,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Vegetables (aggregate avg),VEGT,,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Pig meat (pork),PIGM,PRK,CHN,farm-gate (carcass w/bone),direct,no,no,yes,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Pig meat (pork),PIGM,PRK,WLD,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Pig meat (pork),PIGM,PRK,WLD,cradle-to-retail LCA,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
carbon,Cattle meat (beef),CATM,BFV,CHN,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Cattle meat (beef),CATM,BFV,WLD,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Beef (beef herd),CATM,BFV,WLD,cradle-to-retail LCA,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
carbon,Beef (dairy herd),CATM,BFV,WLD,cradle-to-retail LCA,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
carbon,Sheep meat,SHGM,SGT,CHN,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Sheep meat,SHGM,SGT,WLD,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Goat meat,SHGM,SGT,CHN,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Goat meat,SHGM,SGT,WLD,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Lamb & Mutton,SHGM,SGT,WLD,cradle-to-retail LCA,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
carbon,Chicken meat,CHKM,PLM,CHN,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Chicken meat,CHKM,PLM,WLD,farm-gate (carcass w/bone),direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Poultry meat,CHKM,PLM,WLD,cradle-to-retail LCA,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
carbon,Hen eggs,EGGS,EGG,CHN,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Hen eggs,EGGS,EGG,WLD,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Eggs,EGGS,EGG,WLD,cradle-to-retail LCA,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
carbon,Cow milk (raw),MILK,MLK,CHN,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Cow milk (raw),MILK,MLK,WLD,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Milk,MILK,MLK,WLD,cradle-to-retail LCA,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
carbon,Fish (farmed),FISH,FSH,WLD,cradle-to-retail LCA,lifecycle,yes,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,high_for_joint_product_sum,Final-product footprint only. Do not add to feed-crop lifecycle coefficients in the same production total.
carbon,Barley,BARL,,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
carbon,Sorghum,SORG,,,,review,no,no,no,no,,,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
carbon,Other coarse grains (cereals excl. rice),OTGR,OCG,CHN,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,yes,Aggregate proxy,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Other coarse grains (cereals excl. rice),OTGR,OCG,WLD,farm-gate,direct,no,no,no,no,2023,FAOSTAT Emissions intensities domain,yes,Aggregate proxy,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
carbon,Butter,,BUT,WLD,,review,no,no,no,no,,,yes,No dedicated P&N GHG value retrieved; cheese=23.932 available as dairy proxy,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
carbon,Cheese,,CHE,WLD,cradle-to-retail LCA,lifecycle,no,no,yes,yes,2018,Poore & Nemecek 2018 Science (via OWID),no,,no,final_product_consumption_footprint,medium_boundary_overlap,Final-product footprint sensitivity only unless all intermediate-product overlaps are removed.
water,Rice (paddy),RICE,RIC,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Wheat,WHEA,WHE,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Maize (corn),MAIZ,CRN,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Potatoes,POTA,,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Soybeans,SOYS,SBS,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Rapeseed,RAPS,RBS,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Groundnuts (in shell),GRDS,NBS,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Seed cotton,COTT,CTN,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Sugar cane,SUGC,SCA,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Sugar beet,SUGB,SBE,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Fruit (apples proxy),FRTO,,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,yes,Apples; fruit-category aggregate = 727/147/93/967,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Fruits (category aggregate),FRTO,,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Vegetables (tomatoes proxy),VEGT,,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,yes,Tomatoes; veg-category aggregate = 194/43/85/322,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Vegetables (category aggregate),VEGT,,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Barley,BARL,,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Sorghum,SORG,,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Cereals (category aggregate),OTGR,OCG,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2011 HESS,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Pig meat (pork),PIGM,PRK,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Pig meat (pork),PIGM,PRK,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Beef / bovine meat,CATM,BFV,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Beef / bovine meat,CATM,BFV,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Sheep meat,SHGM,SGT,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Sheep meat,SHGM,SGT,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Goat meat,SHGM,SGT,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Goat meat,SHGM,SGT,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Chicken meat,CHKM,PLM,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Chicken meat,CHKM,PLM,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Eggs,EGGS,EGG,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Eggs,EGGS,EGG,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Milk (bovine),MILK,MLK,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Milk (bovine),MILK,MLK,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Butter,,BUT,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Butter,,BUT,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Cheese,,CHE,WLD,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Cheese,,CHE,CHN,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,Mekonnen & Hoekstra 2012 Ecosystems,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Fish (aquaculture),FISH,FSH,,"farm water footprint: green, blue and grey components",direct,no,no,no,no,,NOT in Mekonnen & Hoekstra,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Soybean oil,SOYO,SBO,,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,derive from SOYS via crushing allocation,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Rapeseed oil,RAPO,RBO,,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,derive from RAPS via crushing allocation,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
water,Groundnut oil,GRDO,NBO,,"farm water footprint: green, blue and grey components",direct,no,no,no,no,1996-2005,derive from GRDS via crushing allocation,no,,manual_review,boundary_review_required,unknown,Boundary text is insufficient for automatic classification.
nitrogen,Wheat,WHEA,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data (FUBC #9),no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Rice,RICE,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Maize,MAIZ,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Soybean,SOYS,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Rapeseed,RAPS,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Cotton (seed cotton),COTT,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Sugar cane,SUGC,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Sugar beet,SUGB,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Vegetables,VEGT,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Fruit (fruit+citrus+treenuts),FRTO,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Roots/tubers (incl. potato),POTA,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Wheat,WHEA,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Rice,RICE,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Maize,MAIZ,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Soybean,SOYS,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Rapeseed,RAPS,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Cotton (seed cotton),COTT,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Sugar cane,SUGC,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Sugar beet,SUGB,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Vegetables,VEGT,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Fruit (fruit+citrus+treenuts),FRTO,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Potato,POTA,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Groundnut,GRDS,,CHN,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,Groundnut,GRDS,,WLD,direct crop fertilizer application,direct,no,no,no,no,~2018,Ludemann et al. 2022 Scientific Data,no,,yes,direct_production_account,low,Use in global net-effect account if the model quantity is the matching direct production process.
nitrogen,All cropland (N input),,,WLD,supply-chain or virtual nitrogen factor,review,no,no,no,no,2010s,Adalibieke et al. 2023 Scientific Data,no,,manual_review,direct_or_supply_chain_nitrogen,medium_boundary_overlap,"Keep crop fertilizer, livestock excretion and virtual-N factors in separate accounts unless overlaps are removed."
