data_year,village_id,vilLat,vilLon,town_id,county_id,province_id,village_questionnaire_missing,p1_village,p1_source,p2_village,p2_source,p3_village,p3_source,p4_village,p4_source,p5_village,p5_source,p6_village,p6_source
2023,220421109204,,,220421109,220421,22,0,2.35,nearest direct village in county,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,same-town representative median,5,nearest direct village in county
2023,220421109206,,,220421109,220421,22,0,2.35,nearest direct village in county,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,same-town representative median,5,nearest direct village in county
2023,220421110201,,,220421110,220421,22,0,2.35,nearest direct village in county,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,nearest direct village in county,5,nearest direct village in county
2023,220421110205,,,220421110,220421,22,0,2.35,nearest direct village in county,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,nearest direct village in county,5,nearest direct village in county
2023,220421110208,,,220421110,220421,22,0,2.35,nearest direct village in county,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,nearest direct village in county,5,nearest direct village in county
2023,220521101001,,,220521101,220521,22,0,2.35,same-town representative median,3,nearest direct village in county,9,nearest direct village in county,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220521101208,,,220521101,220521,22,0,2.35,own village: representative products,3,nearest direct village in county,9,nearest direct village in county,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220521101209,,,220521101,220521,22,0,2.35,same-town representative median,3,nearest direct village in county,9,nearest direct village in county,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220521105200,,,220521105,220521,22,0,2,own village: representative products,3,nearest direct village in county,9,nearest direct village in county,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220521105205,,,220521105,220521,22,0,2,same-town representative median,3,nearest direct village in county,9,nearest direct village in county,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220521105207,,,220521105,220521,22,0,2,same-town representative median,3,nearest direct village in county,9,nearest direct village in county,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220521106200,,,220521106,220521,22,0,2.175,nearest direct village in county,3,own village: representative products,9,same-town representative median,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220521106201,,,220521106,220521,22,0,2.175,nearest direct village in county,3,same-town representative median,9,own village: representative products,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220521106206,,,220521106,220521,22,0,2.175,nearest direct village in county,3,same-town representative median,9,same-town representative median,8.199999999999999,province direct median,2.055,province direct median,8.5,province direct median
2023,220822102200,45.0252,122.9615,220822102,220822,22,0,2.6,own village: representative products,4.75,own village: representative products,8,own village: representative products,8.199999999999999,same-town representative median,2.1,own village: representative products,12,county direct median
2023,220822102202,,,220822102,220822,22,0,3.125,own village: representative products,3.5,own village: representative products,8,same-town representative median,8.199999999999999,own village: representative products,4,own village: representative products,12,nearest direct village in county
2023,220822102204,,,220822102,220822,22,0,2.8625,same-town representative median,4.125,same-town representative median,8,same-town representative median,8.199999999999999,same-town representative median,3.05,same-town representative median,12,nearest direct village in county
2023,220822107202,,,220822107,220822,22,0,2.8,same-town representative median,2,same-town representative median,10,same-town representative median,7.274999999999999,nearest direct village in county,2.055,same-town representative median,12,nearest direct village in county
2023,220822107203,44.8394,122.7591,220822107,220822,22,0,2.8,same-town representative median,2,own village: representative products,10,own village: representative products,7.274999999999999,county direct median,2.055,own village: representative products,12,county direct median
2023,220822107212,,,220822107,220822,22,0,2.8,own village: representative products,2,same-town representative median,10,same-town representative median,7.274999999999999,nearest direct village in county,2.055,same-town representative median,12,nearest direct village in county
2023,220822205201,,,220822205,220822,22,0,2.7375,own village: representative products,3,own village: representative products,9,nearest direct village in county,6.35,own village: representative products,4,own village: representative products,12,own village: representative products
2023,220822205206,44.8925,123.2741,220822205,220822,22,0,2.4,own village: representative products,3,same-town representative median,9,county direct median,6.35,same-town representative median,4,same-town representative median,12,same-town representative median
2023,220822205209,,,220822205,220822,22,0,2.56875,same-town representative median,3,same-town representative median,9,nearest direct village in county,6.35,same-town representative median,4,same-town representative median,12,same-town representative median
2023,222403101201,,,222403101,222403,22,0,2.5,province direct median,4.75,province direct median,9,same-town representative median,8.199999999999999,province direct median,1.3,same-town representative median,8.5,province direct median
2023,222403101208,,,222403101,222403,22,0,2.5,province direct median,4.75,province direct median,9,same-town representative median,8.199999999999999,province direct median,1.3,same-town representative median,8.5,province direct median
2023,222403101215,,,222403101,222403,22,0,2.5,province direct median,4.75,province direct median,9,own village: representative products,8.199999999999999,province direct median,1.3,own village: representative products,8.5,province direct median
2023,222403103200,,,222403103,222403,22,0,2.5,province direct median,4.75,province direct median,9.5,nearest direct village in county,8.199999999999999,province direct median,1.29,nearest direct village in county,8.5,province direct median
2023,222403103210,,,222403103,222403,22,0,2.5,province direct median,4.75,province direct median,9.5,nearest direct village in county,8.199999999999999,province direct median,1.29,nearest direct village in county,8.5,province direct median
2023,222403103221,,,222403103,222403,22,0,2.5,province direct median,4.75,province direct median,9.5,nearest direct village in county,8.199999999999999,province direct median,1.29,nearest direct village in county,8.5,province direct median
2023,222403203201,,,222403203,222403,22,0,2.5,province direct median,4.75,province direct median,10,same-town representative median,8.199999999999999,province direct median,1.28,same-town representative median,8.5,province direct median
2023,222403203203,,,222403203,222403,22,0,2.5,province direct median,4.75,province direct median,10,own village: representative products,8.199999999999999,province direct median,1.28,own village: representative products,8.5,province direct median
2023,222403203216,,,222403203,222403,22,0,2.5,province direct median,4.75,province direct median,10,same-town representative median,8.199999999999999,province direct median,1.28,same-town representative median,8.5,province direct median
2024,350181003201,25.7461,119.4042,350181003,350181,35,0,2.8725,same-town representative median,4.7975,same-town representative median,24.95,same-town representative median,7.075,same-town representative median,6.695,same-town representative median,7.995,same-town representative median
2024,350181003207,,119.4333,350181003,350181,35,0,2.745,own village: representative products,4.095000000000001,own village: representative products,21,own village: representative products,6.5,own village: representative products,7.9,own village: representative products,10,own village: representative products
2024,350181003209,25.7295,119.438,350181003,350181,35,0,3,own village: representative products,5.5,own village: representative products,28.9,own village: representative products,7.65,own village: representative products,5.49,own village: representative products,5.99,own village: representative products
2024,350181103211,25.6849,119.4719,350181103,350181,35,0,2.245,own village: representative products,3.995,own village: representative products,15.245,own village: representative products,9.699999999999999,own village: representative products,3,own village: representative products,3.99,own village: representative products
2024,350181103212,25.6886,119.4708,350181103,350181,35,0,2.245,same-town representative median,3.9925,same-town representative median,15.245,same-town representative median,15.7,same-town representative median,3.495,same-town representative median,4.99,same-town representative median
2024,350181103223,,119.4333,350181103,350181,35,0,2.245,own village: representative products,3.99,own village: representative products,15.245,same-town representative median,21.7,own village: representative products,3.99,own village: representative products,5.99,own village: representative products
2024,350181108214,25.5664,119.4756,350181108,350181,35,0,2.9925,own village: representative products,4.935,own village: representative products,25.99,own village: representative products,6.59,own village: representative products,2.99,own village: representative products,5.99,own village: representative products
2024,350181108226,25.4958,119.4961,350181108,350181,35,0,2.955,same-town representative median,4.76375,same-town representative median,25.4675,same-town representative median,6.59,same-town representative median,3.3675,same-town representative median,5.7425,same-town representative median
2024,350181108231,25.5167,,350181108,350181,35,0,2.9175,own village: representative products,4.5925,own village: representative products,24.945,own village: representative products,6.59,own village: representative products,3.745,own village: representative products,5.495,own village: representative products
2024,350426101209,26.2311,118.22,350426101,350426,35,0,2.5,same-town representative median,5.95,county direct median,22.2,county direct median,6.69,county direct median,4.145,province direct median,5.99,province direct median
2024,350426101212,26.2978,118.2233,350426101,350426,35,0,2.5,own village: representative products,5.95,county direct median,22.2,county direct median,6.69,county direct median,4.145,province direct median,5.99,province direct median
2024,350426101220,26.2367,118.2478,350426101,350426,35,0,2.5,own village: representative products,5.95,county direct median,22.2,county direct median,6.69,county direct median,4.145,province direct median,5.99,province direct median
2024,350426106210,26.175,118.1192,350426106,350426,35,0,2.5,own village: representative products,8,own village: representative products,27.4,same-town representative median,6.69,same-town representative median,4.145,province direct median,5.99,province direct median
2024,350426106213,26.1267,118.1319,350426106,350426,35,0,2.61125,same-town representative median,6.975,same-town representative median,27.4,same-town representative median,6.69,same-town representative median,4.145,province direct median,5.99,province direct median
2024,350426106215,26.1911,118.0525,350426106,350426,35,0,2.7225,own village: representative products,5.95,own village: representative products,27.4,own village: representative products,6.69,own village: representative products,4.145,province direct median,5.99,province direct median
2024,350426109201,26.3703,118.2306,350426109,350426,35,0,1.5,own village: representative products,5,own village: representative products,17,own village: representative products,6.69,county direct median,4.145,province direct median,5.99,province direct median
2024,350426109202,26.3794,118.2231,350426109,350426,35,0,2.5,own village: representative products,5,same-town representative median,17,same-town representative median,6.69,county direct median,4.145,province direct median,5.99,province direct median
2024,350426109203,26.3694,118.2286,350426109,350426,35,0,2,same-town representative median,5,same-town representative median,17,same-town representative median,6.69,county direct median,4.145,province direct median,5.99,province direct median
2024,350629100202,25.0523,117.5393,350629100,350629,35,0,3,own village: representative products,2.5,own village: representative products,15.9,own village: representative products,9.699999999999999,own village: representative products,2.695,own village: representative products,6.48,own village: representative products
2024,350629100204,25.0089,117.5689,350629100,350629,35,0,2.76,same-town representative median,3.625,same-town representative median,15.95,same-town representative median,8.449999999999999,same-town representative median,3.595,same-town representative median,6.48,same-town representative median
2024,350629100205,,117.5333,350629100,350629,35,0,2.52,own village: representative products,4.75,own village: representative products,16,own village: representative products,7.2,own village: representative products,4.495,own village: representative products,6.48,same-town representative median
2024,350629103201,24.5536,117.5536,350629103,350629,35,0,4,own village: representative products,4,own village: representative products,15,own village: representative products,9.85,own village: representative products,4.29,own village: representative products,6.48,own village: representative products
2024,350629103205,24.9158,117.5508,350629103,350629,35,0,4,same-town representative median,4,same-town representative median,15,same-town representative median,9.85,same-town representative median,4.29,same-town representative median,6.48,same-town representative median
2024,350629103206,,117.55,350629103,350629,35,0,4,same-town representative median,4,same-town representative median,15,same-town representative median,9.85,same-town representative median,4.29,same-town representative median,6.48,same-town representative median
2024,350629105204,,117.65,350629105,350629,35,0,2.4125,own village: representative products,4.185,own village: representative products,14.99,own village: representative products,13.45,own village: representative products,5.9,own village: representative products,6.09,same-town representative median
2024,350629105211,25.0725,119.6453,350629105,350629,35,0,3.36875,same-town representative median,4.192500000000001,same-town representative median,20.49,same-town representative median,9.125,same-town representative median,5.195,same-town representative median,6.09,same-town representative median
2024,350629105212,25.0953,117.6412,350629105,350629,35,0,4.325,own village: representative products,4.2,own village: representative products,25.99,own village: representative products,4.8,own village: representative products,4.49,own village: representative products,6.09,own village: representative products
2024,350724200202,27.5414,118.8028,350724200,350724,35,0,4.020875,same-town representative median,4.8125,same-town representative median,22.111,same-town representative median,11.056,same-town representative median,3.5,county direct median,5.5,county direct median
2024,350724200203,27.5486,118.8278,350724200,350724,35,0,4.4945,own village: representative products,4.8125,own village: representative products,22.111,own village: representative products,11.056,own village: representative products,3.5,county direct median,5.5,county direct median
2024,350724200204,27.5664,118.8236,350724200,350724,35,0,3.54725,own village: representative products,4.8125,own village: representative products,22.111,own village: representative products,11.056,own village: representative products,3.5,county direct median,5.5,county direct median
2024,350724201201,27.5731,118.6528,350724201,350724,35,0,2.7,own village: representative products,4.8125,county direct median,13,own village: representative products,11.056,county direct median,3,same-town representative median,5.5,county direct median
2024,350724201207,27.4778,118.8325,350724201,350724,35,0,2.7,same-town representative median,4.8125,county direct median,13.5,same-town representative median,11.056,county direct median,3,same-town representative median,5.5,county direct median
2024,350724201209,27.4836,118.8392,350724201,350724,35,0,2.7,same-town representative median,4.8125,county direct median,14,own village: representative products,11.056,county direct median,3,own village: representative products,5.5,county direct median
2024,350724204201,27.5944,118.7169,350724204,350724,35,0,2.875,own village: representative products,6.25,own village: representative products,13,own village: representative products,11.056,county direct median,4,own village: representative products,5.5,own village: representative products
2024,350724204207,27.5731,118.6528,350724204,350724,35,0,2.875,same-town representative median,6.25,same-town representative median,13,same-town representative median,11.056,county direct median,4,same-town representative median,5.5,same-town representative median
2024,350724204208,27.6083,118.6686,350724204,350724,35,0,2.875,same-town representative median,6.25,same-town representative median,13,same-town representative median,11.056,county direct median,4,same-town representative median,5.5,same-town representative median
2024,350982002003,27.3125,120.2131,350982002,350982,35,0,2.7425,own village: representative products,5.4975,county direct median,27,own village: representative products,7.8535,own village: representative products,5,county direct median,6,county direct median
2024,350982002207,27.2775,120.2422,350982002,350982,35,0,2.7425,same-town representative median,5.4975,county direct median,27,same-town representative median,7.8535,same-town representative median,5,county direct median,6,county direct median
2024,350982002214,27.3111,120.3167,350982002,350982,35,0,2.7425,same-town representative median,6.495,nearest direct village in county,27,same-town representative median,7.8535,same-town representative median,5,nearest direct village in county,6,nearest direct village in county
2024,350982101002,27.3136,120.3203,350982101,350982,35,0,2.625,own village: representative products,6.495,same-town representative median,16.99,same-town representative median,6.5,same-town representative median,5,same-town representative median,6,same-town representative median
2024,350982101201,27.3111,120.3167,350982101,350982,35,0,3.985,own village: representative products,6.495,own village: representative products,16.99,own village: representative products,6.5,own village: representative products,5,own village: representative products,6,own village: representative products
2024,350982101218,27.3231,120.3611,350982101,350982,35,0,3.305,same-town representative median,6.495,same-town representative median,16.99,same-town representative median,6.5,same-town representative median,5,same-town representative median,6,same-town representative median
2024,350982107003,27.2342,120.1808,350982107,350982,35,0,3.25,own village: representative products,4.5,same-town representative median,18,same-town representative median,7.17675,county direct median,5,county direct median,6,county direct median
2024,350982107202,27.2328,120.1822,350982107,350982,35,0,3,own village: representative products,4.5,own village: representative products,18,own village: representative products,7.17675,county direct median,5,county direct median,6,county direct median
2024,350982107203,27.2422,120.1686,350982107,350982,35,0,3.25,own village: representative products,4.5,same-town representative median,18,same-town representative median,7.17675,county direct median,5,county direct median,6,county direct median
2023,370321101202,37.0738,118.1138,370321101,370321,37,0,4.0975,county direct median,2.28,same-town representative median,9.9,same-town representative median,9,province direct median,1.685,same-town representative median,5.6425,same-town representative median
2023,370321101213,37.051,118.072,370321101,370321,37,0,4.0975,county direct median,2.28,own village: representative products,9.9,own village: representative products,9,province direct median,1.685,own village: representative products,5.6425,own village: representative products
2023,370321101222,,,370321101,370321,37,0,4.0975,nearest direct village in county,2.28,same-town representative median,9.9,same-town representative median,9,province direct median,1.685,same-town representative median,5.6425,same-town representative median
2023,370321103203,37.0012,117.9938,370321103,370321,37,0,4.0975,county direct median,2.635,county direct median,11.9,same-town representative median,9,province direct median,.98,same-town representative median,6.99,same-town representative median
2023,370321103211,36.596,118.054,370321103,370321,37,0,4.0975,county direct median,2.635,county direct median,11.9,own village: representative products,9,province direct median,.98,own village: representative products,6.99,own village: representative products
2023,370321103217,,,370321103,370321,37,0,4.0975,nearest direct village in county,2.635,nearest direct village in county,11.9,same-town representative median,9,province direct median,.98,same-town representative median,6.99,same-town representative median
2023,370321105215,37.0465,117.9016,370321105,370321,37,0,3.995,own village: representative products,2.99,own village: representative products,12.8,own village: representative products,9,province direct median,1.14,same-town representative median,3.68,own village: representative products
2023,370321105216,,,370321105,370321,37,0,4.0975,same-town representative median,2.99,same-town representative median,12.35,same-town representative median,9,province direct median,1.14,same-town representative median,5.58,same-town representative median
2023,370321105231,37.018,117.909,370321105,370321,37,0,4.2,own village: representative products,2.99,same-town representative median,11.9,own village: representative products,9,province direct median,1.14,own village: representative products,7.48,own village: representative products
2023,370686001219,37.265,120.796,370686001,370686,37,0,2.45,own village: representative products,4,own village: representative products,10,own village: representative products,9,province direct median,1.75,own village: representative products,3.5,own village: representative products
2023,370686001221,37.265,120.7689,370686001,370686,37,0,3,own village: representative products,4,same-town representative median,10,same-town representative median,9,province direct median,1.75,same-town representative median,3.5,same-town representative median
2023,370686001222,,,370686001,370686,37,0,2.725,same-town representative median,4,same-town representative median,10,same-town representative median,9,province direct median,1.75,same-town representative median,3.5,same-town representative median
2023,370686109202,,,370686109,370686,37,0,3.45,same-town representative median,4,nearest direct village in county,10,nearest direct village in county,9,province direct median,1.515,nearest direct village in county,3.5,nearest direct village in county
2023,370686109203,37.2013,120.7642,370686109,370686,37,0,3.45,same-town representative median,4,county direct median,10,county direct median,9,province direct median,1.515,county direct median,3.5,county direct median
2023,370686109204,37.208,120.773,370686109,370686,37,0,3.45,own village: representative products,4,county direct median,10,county direct median,9,province direct median,1.515,county direct median,3.5,county direct median
2023,370686110231,37.311,120.703,370686110,370686,37,0,4.55,own village: representative products,4,county direct median,10,county direct median,9,province direct median,1.28,own village: representative products,3.5,county direct median
2023,370686110238,,,370686110,370686,37,0,4.55,same-town representative median,4,nearest direct village in county,10,nearest direct village in county,9,province direct median,1.28,same-town representative median,3.5,nearest direct village in county
2023,370686110239,37.3268,120.6972,370686110,370686,37,0,4.55,same-town representative median,4,county direct median,10,county direct median,9,province direct median,1.28,same-town representative median,3.5,county direct median
2023,370783004205,36.9627,118.7373,370783004,370783,37,0,2.287,own village: representative products,4.52,own village: representative products,11,own village: representative products,9.529,own village: representative products,.68,own village: representative products,7.74,own village: representative products
2023,370783004211,36.573,118.4227,370783004,370783,37,0,2.6245,own village: representative products,4.42,own village: representative products,13.49,same-town representative median,9.1645,own village: representative products,.8400000000000001,own village: representative products,7.74,own village: representative products
2023,370783004214,36.575,118.712,370783004,370783,37,0,2.374,own village: representative products,4.84,own village: representative products,15.98,own village: representative products,9.34675,same-town representative median,.68,own village: representative products,7.74,same-town representative median
2023,370783006269,36.828,118.759,370783006,370783,37,0,2.8575,own village: representative products,4.35,own village: representative products,20,own village: representative products,8.550000000000001,own village: representative products,2.7,own village: representative products,3.75,own village: representative products
2023,370783006270,36.5014,118.4553,370783006,370783,37,0,2.56,own village: representative products,4.35,own village: representative products,20,same-town representative median,11.6,own village: representative products,2.7,own village: representative products,3.75,own village: representative products
2023,370783006272,36.8353,118.7684,370783006,370783,37,0,2.7375,own village: representative products,4.35,own village: representative products,20,same-town representative median,10.45,own village: representative products,2.7,own village: representative products,3.75,own village: representative products
2023,370783100200,36.562,118.351,370783100,370783,37,0,3.3,own village: representative products,2.8,own village: representative products,11.98,same-town representative median,9,own village: representative products,1,own village: representative products,6,own village: representative products
2023,370783100201,36.5751,118.3524,370783100,370783,37,0,4,own village: representative products,3.5,own village: representative products,11.98,own village: representative products,8.916499999999999,own village: representative products,1.49,own village: representative products,4.9,own village: representative products
2023,370783100204,36.9535,118.575,370783100,370783,37,0,2.15,own village: representative products,3.15,same-town representative median,11.98,same-town representative median,8.25,own village: representative products,1,own village: representative products,6,own village: representative products
2023,371324103243,34.7095,118.0882,371324103,371324,37,0,1.98,own village: representative products,1.48,own village: representative products,10.15,same-town representative median,8.449999999999999,own village: representative products,1.12,own village: representative products,2,own village: representative products
2023,371324103247,34.7201,118.0717,371324103,371324,37,0,2.2525,same-town representative median,2.3025,same-town representative median,10.3,own village: representative products,9.725,same-town representative median,1.3,own village: representative products,3.25,same-town representative median
2023,371324103253,,,371324103,371324,37,0,2.525,own village: representative products,3.125,own village: representative products,10,own village: representative products,11,own village: representative products,1.79,own village: representative products,4.5,own village: representative products
2023,371324109245,,,371324109,371324,37,0,2.251666666666667,nearest direct village in county,2.27625,nearest direct village in county,9.9,same-town representative median,9.483333333333333,nearest direct village in county,1.5425,same-town representative median,4.75,same-town representative median
2023,371324109247,34.8065,,371324109,371324,37,0,2.251666666666666,nearest direct village in county,2.27625,nearest direct village in county,9.9,same-town representative median,9.483333333333333,nearest direct village in county,1.5425,same-town representative median,4.75,own village: representative products
2023,371324109254,34.4814,117.4926,371324109,371324,37,0,2.25,county direct median,2.25,county direct median,9.9,own village: representative products,9,county direct median,1.5425,own village: representative products,4.75,same-town representative median
2023,371324202202,,117.8067,371324202,371324,37,0,2.25,same-town representative median,2,own village: representative products,11,same-town representative median,9,own village: representative products,1.55,own village: representative products,5,own village: representative products
2023,371324202204,,,371324202,371324,37,0,2.25,same-town representative median,2.25,same-town representative median,11,same-town representative median,9,same-town representative median,1.525,same-town representative median,5,same-town representative median
2023,371324202293,34.9841,117.7733,371324202,371324,37,0,2.25,own village: representative products,2.5,own village: representative products,11,own village: representative products,9,same-town representative median,1.5,own village: representative products,5,same-town representative median
2023,371525003201,36.2941,115.3216,371525003,371525,37,0,2.2975,own village: representative products,4,own village: representative products,9.9,own village: representative products,9,nearest direct village in county,1.9,own village: representative products,4.675,own village: representative products
2023,371525003202,36.509,115.552,371525003,371525,37,0,2.2975,own village: representative products,4,own village: representative products,9.949999999999999,own village: representative products,9,county direct median,1.9,own village: representative products,4.675,own village: representative products
2023,371525003233,36.4954,115.5228,371525003,371525,37,0,2.4225,own village: representative products,3.75,own village: representative products,12,own village: representative products,9,county direct median,1.45,own village: representative products,4.675,own village: representative products
2023,371525109222,36.5276,115.6544,371525109,371525,37,0,2.115,own village: representative products,3.395,own village: representative products,19.9,same-town representative median,9,own village: representative products,1.29,own village: representative products,4.99,own village: representative products
2023,371525109226,36.551,115.663,371525109,371525,37,0,2,own village: representative products,3.395,own village: representative products,19.9,own village: representative products,9,own village: representative products,1.29,own village: representative products,4.99,own village: representative products
2023,371525109234,36.3226,115.3857,371525109,371525,37,0,2.115,own village: representative products,3.395,own village: representative products,19.9,same-town representative median,9,own village: representative products,1.29,own village: representative products,4.99,own village: representative products
2023,371525200203,36.252,115.2345,371525200,371525,37,0,2.1,own village: representative products,3.75,own village: representative products,9,own village: representative products,9,county direct median,2.25,own village: representative products,2.5,own village: representative products
2023,371525200207,36.4,115.402,371525200,371525,37,0,2.1,same-town representative median,3.75,same-town representative median,10,own village: representative products,9,county direct median,1.2,own village: representative products,2.5,same-town representative median
2023,371525200210,36.3952,115.3788,371525200,371525,37,0,2.1,own village: representative products,3.75,same-town representative median,9,own village: representative products,9,county direct median,2.25,own village: representative products,2.5,same-town representative median
2024,420381100201,32.4258,111.3676,420381100,420381,42,0,2.29,own village: representative products,4.78,own village: representative products,15,own village: representative products,5.75,own village: representative products,2.34,own village: representative products,6.98,own village: representative products
2024,420381100208,32.4496,111.3795,420381100,420381,42,0,2.29,own village: representative products,4.78,own village: representative products,15,own village: representative products,5.81,own village: representative products,2.34,own village: representative products,6.98,own village: representative products
2024,420381100209,32.4361,111.4369,420381100,420381,42,0,2.395,own village: representative products,4.78,own village: representative products,15,own village: representative products,5.7,own village: representative products,2.34,same-town representative median,6.98,own village: representative products
2024,420381102201,32.468,112.2173,420381102,420381,42,0,2.575,own village: representative products,4.78,same-town representative median,15,nearest direct village in county,5.7,same-town representative median,2.545,same-town representative median,6.98,same-town representative median
2024,420381102202,32.4625,111.2207,420381102,420381,42,0,2.125,own village: representative products,4.78,same-town representative median,15,county direct median,5.7,same-town representative median,2.545,same-town representative median,6.98,same-town representative median
2024,420381102206,32.4566,111.2465,420381102,420381,42,0,2.2075,own village: representative products,4.78,own village: representative products,15,county direct median,5.7,own village: representative products,2.545,own village: representative products,6.98,own village: representative products
2024,420381107201,32.7459,111.264,420381107,420381,42,0,3.25,own village: representative products,2.75,own village: representative products,14,own village: representative products,7.58,own village: representative products,2.4,own village: representative products,6.98,nearest direct village in county
2024,420381107202,32.7443,111.2633,420381107,420381,42,0,3.25,own village: representative products,2.75,own village: representative products,14,own village: representative products,7.58,own village: representative products,2.4,own village: representative products,6.98,nearest direct village in county
2024,420381107204,32.7617,111.258,420381107,420381,42,0,3.25,same-town representative median,2.75,same-town representative median,14,same-town representative median,7.58,same-town representative median,2.4,same-town representative median,6.98,nearest direct village in county
2024,420683002013,32.0763,112.7864,420683002,420683,42,0,2.25,own village: representative products,3.67,own village: representative products,10,own village: representative products,8.309999999999999,own village: representative products,1.87,own village: representative products,6.88,county direct median
2024,420683002209,32.0442,112.6893,420683002,420683,42,0,2.5,own village: representative products,3.17,own village: representative products,10,own village: representative products,5.75,own village: representative products,1.87,own village: representative products,6.88,county direct median
2024,420683002214,32.0606,112.6743,420683002,420683,42,0,2.25,own village: representative products,3.17,own village: representative products,10,own village: representative products,5.75,own village: representative products,1.87,own village: representative products,6.88,county direct median
2024,420683105201,32.1823,112.8948,420683105,420683,42,0,2.75,own village: representative products,3.5,own village: representative products,15,own village: representative products,7.52,own village: representative products,2.415,own village: representative products,6.88,own village: representative products
2024,420683105211,32.2244,112.9037,420683105,420683,42,0,2.75,own village: representative products,3.5,own village: representative products,15,own village: representative products,7.96,own village: representative products,2.415,own village: representative products,6.88,own village: representative products
2024,420683105215,32.2134,112.8666,420683105,420683,42,0,2.75,own village: representative products,3.5,own village: representative products,15,own village: representative products,7.52,own village: representative products,2.415,own village: representative products,6.88,own village: representative products
2024,420683107005,32.0604,112.9002,420683107,420683,42,0,2.3175,own village: representative products,3.08,own village: representative products,15.89,own village: representative products,8.779999999999999,own village: representative products,2.315,own village: representative products,6.88,county direct median
2024,420683107220,31.9762,112.9327,420683107,420683,42,0,2.1325,own village: representative products,3.64,own village: representative products,16.8,own village: representative products,7.574999999999999,own village: representative products,2.315,own village: representative products,6.88,county direct median
2024,420683107222,31.9802,112.9514,420683107,420683,42,0,2.1325,own village: representative products,3.64,own village: representative products,16.8,own village: representative products,7.574999999999999,own village: representative products,2.315,own village: representative products,6.88,county direct median
2024,421002100201,30.3662,112.3203,421002100,421002,42,0,2.9,own village: representative products,3.245,own village: representative products,16.9,own village: representative products,8.529999999999999,own village: representative products,2.395,own village: representative products,6.95,same-town representative median
2024,421002100205,30.3576,112.3445,421002100,421002,42,0,2.95,own village: representative products,3.245,own village: representative products,16.9,own village: representative products,8.870000000000001,own village: representative products,2.395,own village: representative products,6.95,own village: representative products
