category,cluster_def,theta_naive,se,theta_true,bias,recovery,price_var_share_prov
常温牛奶,fine,0.0300073960313186,0.00301157058519861,0.0351074831754395,-0.00510008714412088,1.16996100357385,0.0133562494440792
常温牛奶,quarter,0.0300343160414772,0.00307549673304615,0.0351074831754395,-0.00507316713396229,1.168912357683,0.0133562494440792
常温牛奶,province,0.0317928625792609,0.0032394938325485,0.0351074831754395,-0.00331462059617861,1.10425675221648,0.0133562494440792
常温牛奶,xsec_fine,0.0256551559464951,0.00327625099114163,0.0351074831754395,-0.00945232722894443,1.36843772256375,0.0133562494440792
常温牛奶,xsec_province,0.0266470198800385,0.00325964161007415,0.0351074831754395,-0.00846046329540102,1.31750129408425,0.0133562494440792
常温酸奶,fine,0.0612853108482233,0.00351476432283673,0.0672588109438109,-0.00597350009558763,1.09747034016653,0.0220474405179581
常温酸奶,quarter,0.060903352874373,0.00358447281162859,0.0672588109438109,-0.00635545806943792,1.10435317218984,0.0220474405179581
常温酸奶,province,0.0608751187086707,0.00389084470905885,0.0672588109438109,-0.00638369223514018,1.10486537637307,0.0220474405179581
常温酸奶,xsec_fine,0.0632304060606294,0.00438686776516732,0.0672588109438109,-0.00402840488318155,1.06370993220127,0.0220474405179581
常温酸奶,xsec_province,0.0641920789293905,0.00452280312254666,0.0672588109438109,-0.00306673201442038,1.04777430588895,0.0220474405179581
成人奶粉,fine,0.114717291999551,0.00606243000255815,0.120476009321503,-0.00575871732195249,1.05019920904318,0.0410289201172679
成人奶粉,quarter,0.113389686091225,0.00605386654632631,0.120476009321503,-0.00708632323027812,1.06249530688864,0.0410289201172679
成人奶粉,province,0.111946031161303,0.00666365915009647,0.120476009321503,-0.00852997816020042,1.07619723604055,0.0410289201172679
成人奶粉,xsec_fine,0.103230123475004,0.00507373142684043,0.120476009321503,-0.017245885846499,1.16706253238838,0.0410289201172679
成人奶粉,xsec_province,0.0997867592517304,0.00541307276240417,0.120476009321503,-0.0206892500697726,1.20733462259838,0.0410289201172679
挂面,fine,0.0183451344086862,0.0020583462979573,0.014960540717796,0.00338459369089016,0.815504557476145,0.0166944608565113
挂面,quarter,0.0175085451331904,0.00204426237492223,0.014960540717796,0.00254800441539438,0.854470808624515,0.0166944608565113
挂面,province,0.0177567955840317,0.0023796172400264,0.014960540717796,0.00279625486623574,0.842524803926315,0.0166944608565113
挂面,xsec_fine,0.0074174466193001,0.00356059333294133,0.014960540717796,-0.0075430940984959,2.01693945176078,0.0166944608565113
挂面,xsec_province,0.00697481632950024,0.00378664180066229,0.014960540717796,-0.00798572438829576,2.14493687160189,0.0166944608565113
新鲜牛奶,fine,0.0101164457788241,0.00366018432825654,0.00957808900070807,0.000538356778115992,0.946784000044473,0.0428071762439627
新鲜牛奶,quarter,0.00911559372129874,0.00372766920991929,0.00957808900070807,-0.000462495279409334,1.05073671485914,0.0428071762439627
新鲜牛奶,province,0.00901961007115032,0.00399771707542078,0.00957808900070807,-0.000558478929557755,1.06191830080816,0.0428071762439627
新鲜牛奶,xsec_fine,0.0106106466733552,0.00350617973790317,0.00957808900070807,0.00103255767264714,0.902686640651221,0.0428071762439627
新鲜牛奶,xsec_province,0.00933075155359011,0.00351369151003481,0.00957808900070807,-0.000247337447117963,1.02650777332323,0.0428071762439627
新鲜酸奶,fine,0.011179072081368,0.00251325338948293,0.0113429465676715,-0.000163874486303452,1.01465904192322,0.0151423539915457
新鲜酸奶,quarter,0.0111415184950174,0.0023866536784879,0.0113429465676715,-0.000201428072654143,1.01807905024295,0.0151423539915457
新鲜酸奶,province,0.0117381843460817,0.00262938669906702,0.0113429465676715,0.000395237778410187,0.96632888300633,0.0151423539915457
新鲜酸奶,xsec_fine,0.00675450887027754,0.00330417171556723,0.0113429465676715,-0.00458843769739396,1.67931477854517,0.0151423539915457
新鲜酸奶,xsec_province,0.00758469331438289,0.00335015208822286,0.0113429465676715,-0.00375825325328861,1.49550497264824,0.0151423539915457
方便面,fine,-0.00532956561575146,0.00218408361167871,-0.00720245070361481,0.00187288508786335,1.35141420950482,0.021654213061003
方便面,quarter,-0.00529793278972412,0.00216381133374354,-0.00720245070361481,0.00190451791389069,1.35948321533725,0.021654213061003
方便面,province,-0.00553654293543981,0.0023100404909557,-0.00720245070361481,0.001665907768175,1.30089313631281,0.021654213061003
方便面,xsec_fine,-0.010632429729612,0.00302302317201525,-0.00720245070361481,-0.00342997902599723,0.677404025869599,0.021654213061003
方便面,xsec_province,-0.0102696225283678,0.00283389851509336,-0.00720245070361481,-0.00306717182475296,0.701335485673352,0.021654213061003
面粉,fine,0.0135291663054242,0.0042456513913922,0.00763313311511165,0.00589603319031255,0.56419833586134,0.00989998755120619
面粉,quarter,0.012583369879831,0.0040855076059879,0.00763313311511165,0.00495023676471933,0.606604843377153,0.00989998755120619
面粉,province,0.0137679391444736,0.00499937309088379,0.00763313311511165,0.006134806029362,0.55441362973888,0.00989998755120619
面粉,xsec_fine,0.00161007909566111,0.00574125779047312,0.00763313311511165,-0.00602305401945054,4.74084356208441,0.00989998755120619
面粉,xsec_province,0.00171760723006039,0.00630448246058124,0.00763313311511165,-0.00591552588505126,4.44405041008314,0.00989998755120619
食用油,fine,-0.0736097339098936,0.00946574961869219,-0.0793117750306211,0.00570204112072752,1.07746313996607,0.0178680342401892
食用油,quarter,-0.0748875660914142,0.00941734289533512,-0.0793117750306211,0.00442420893920695,1.05907801748833,0.0178680342401892
食用油,province,-0.071828083978629,0.0101394974835624,-0.0793117750306211,0.00748369105199211,1.10418892774891,0.0178680342401892
食用油,xsec_fine,-0.0182423954724842,0.00753140054475849,-0.0793117750306211,0.0610693795581369,4.3476622985315,0.0178680342401892
食用油,xsec_province,-0.0129208483493447,0.00849152826841065,-0.0793117750306211,0.0663909266812764,6.1382792279768,0.0178680342401892
黄油,fine,0.0459526103602367,0.00561879154483375,0.0436005362578453,0.00235207410239135,0.948815223249502,0.0251669302232253
黄油,quarter,0.0450821859713673,0.00552269319341122,0.0436005362578453,0.00148164971352196,0.96713447492402,0.0251669302232253
黄油,province,0.0448575581899317,0.00618618209568666,0.0436005362578453,0.00125702193208641,0.971977477535357,0.0251669302232253
黄油,xsec_fine,0.0201752241642024,0.00358685381247863,0.0436005362578453,-0.0234253120936429,2.16109302692196,0.0251669302232253
黄油,xsec_province,0.0224289268416842,0.00364198709518316,0.0436005362578453,-0.0211716094161612,1.94394214960003,0.0251669302232253
