policy,county_code,cat,year
GI,411326,蔬菜食用菌,2010
GI,410322,水果,2010
GI,420322,畜禽,2010
GI,350502,水果,2010
GI,350982,水产,2010
GI,510121,水果,2010
GI,511324,蔬菜食用菌,2010
GI,620982,水果,2010
GI,360881,粮油,2010
GI,420982,蔬菜食用菌,2010
GI,422822,水果,2010
GI,420323,茶,2010
GI,421381,水果,2010
GI,510824,中药材,2010
GI,422822,水果,2010
GI,511129,水果,2010
GI,610326,水果,2010
GI,620123,蔬菜食用菌,2010
GI,140623,畜禽,2010
GI,513435,粮油,2010
GI,512021,水果,2010
GI,513436,畜禽,2010
GI,410423,蔬菜食用菌,2010
GI,330522,茶,2010
GI,522723,茶,2010
GI,620123,蔬菜食用菌,2010
GI,620522,水果,2010
GI,530602,水果,2010
GI,350721,畜禽,2010
GI,230221,粮油,2010
GI,230112,蔬菜食用菌,2010
GI,230229,粮油,2010
GI,230129,粮油,2010
GI,230382,水产,2010
GI,230624,水产,2010
GI,350526,蔬菜食用菌,2010
GI,350123,蔬菜食用菌,2010
GI,350429,粮油,2010
GI,410823,粮油,2010
GI,430781,水果,2010
GI,430181,水果,2010
GI,430802,茶,2010
GI,510422,水果,2010
GI,610114,水果,2010
GI,610926,茶,2010
GI,511825,畜禽,2010
GI,110114,水果,2010
GI,500229,畜禽,2010
GI,620123,蔬菜食用菌,2010
GI,410327,蔬菜食用菌,2010
GI,410724,蔬菜食用菌,2010
GI,411221,畜禽,2010
GI,422826,粮油,2010
GI,360921,粮油,2010
GI,361021,水果,2010
GI,361022,茶,2010
GI,140321,粮油,2010
GI,341525,茶,2010
GI,340223,粮油,2010
GI,110112,水果,2010
GI,520402,蔬菜食用菌,2010
GI,130126,蔬菜食用菌,2010
GI,130881,蔬菜食用菌,2010
GI,130533,水果,2010
GI,410724,粮油,2010
GI,411282,水果,2010
GI,230112,水产,2010
GI,231222,畜禽,2010
GI,431126,畜禽,2010
GI,220622,中药材,2010
GI,220622,水产,2010
GI,321283,粮油,2010
GI,360222,茶,2010
GI,150721,畜禽,2010
GI,370682,中药材,2010
GI,370682,蔬菜食用菌,2010
GI,371082,水果,2010
GI,371082,水果,2010
GI,371083,茶,2010
GI,370783,蔬菜食用菌,2010
GI,370783,畜禽,2010
GI,370783,水产,2010
GI,370831,粮油,2010
GI,371321,蔬菜食用菌,2010
GI,371321,粮油,2010
GI,371323,水果,2010
GI,371323,水果,2010
GI,370883,水果,2010
GI,140521,粮油,2010
GI,140430,水果,2010
GI,140902,水果,2010
GI,140881,水果,2010
GI,140702,蔬菜食用菌,2010
GI,140721,粮油,2010
GI,610111,水果,2010
GI,611026,水果,2010
GI,611026,蔬菜食用菌,2010
GI,510722,水果,2010
GI,511024,蔬菜食用菌,2010
GI,513401,蔬菜食用菌,2010
GI,513434,水果,2010
GI,532525,水果,2010
GI,331122,畜禽,2010
GI,331004,水果,2010
GI,330329,茶,2010
GI,141023,蔬菜食用菌,2011
GI,141030,水果,2011
GI,141030,粮油,2011
GI,141181,蔬菜食用菌,2011
GI,140425,中药材,2011
GI,141032,水果,2011
GI,152202,蔬菜食用菌,2011
GI,361123,茶,2011
GI,361027,水果,2011
GI,370883,畜禽,2011
GI,370828,粮油,2011
GI,371623,畜禽,2011
GI,371623,畜禽,2011
GI,410322,水果,2011
GI,410822,蔬菜食用菌,2011
GI,410329,蔬菜食用菌,2011
GI,431229,水果,2011
GI,430623,蔬菜食用菌,2011
GI,511824,水果,2011
GI,511822,中药材,2011
GI,513437,畜禽,2011
GI,620201,水果,2011
GI,130526,蔬菜食用菌,2011
GI,141029,水果,2011
GI,140426,粮油,2011
GI,140927,粮油,2011
GI,140927,畜禽,2011
GI,210881,蔬菜食用菌,2011
GI,210421,蔬菜食用菌,2011
GI,210881,水果,2011
GI,210681,水产,2011
GI,230112,粮油,2011
GI,330182,水果,2011
GI,341824,蔬菜食用菌,2011
GI,341824,水果,2011
GI,361025,蔬菜食用菌,2011
GI,370921,水果,2011
GI,420525,粮油,2011
GI,440983,水产,2011
GI,500238,蔬菜食用菌,2011
GI,513432,畜禽,2011
GI,513433,畜禽,2011
GI,513434,蔬菜食用菌,2011
GI,530625,蔬菜食用菌,2011
GI,530126,畜禽,2011
GI,620922,水果,2011
GI,621223,中药材,2011
GI,621223,中药材,2011
GI,621126,畜禽,2011
GI,632823,畜禽,2011
GI,140821,水果,2011
GI,140830,水果,2011
GI,140821,水果,2011
GI,230183,水果,2011
GI,230622,粮油,2011
GI,230183,蔬菜食用菌,2011
GI,320305,水果,2011
GI,321081,茶,2011
GI,331081,水果,2011
GI,350825,粮油,2011
GI,350982,蔬菜食用菌,2011
GI,350821,蔬菜食用菌,2011
GI,370786,蔬菜食用菌,2011
GI,370827,水产,2011
GI,370827,水产,2011
GI,371082,蔬菜食用菌,2011
GI,371082,水产,2011
GI,371082,水产,2011
GI,419001,蔬菜食用菌,2011
GI,410185,蔬菜食用菌,2011
GI,431281,水果,2011
GI,445122,蔬菜食用菌,2011
GI,510121,蔬菜食用菌,2011
GI,513322,水果,2011
GI,511323,水果,2011
GI,513401,畜禽,2011
GI,513226,畜禽,2011
GI,522633,畜禽,2011
GI,530326,水果,2011
GI,530326,蔬菜食用菌,2011
GI,210921,粮油,2011
GI,230183,加工食品,2011
GI,230223,粮油,2011
GI,232721,蔬菜食用菌,2011
GI,350921,蔬菜食用菌,2011
GI,370828,水果,2011
GI,371082,水果,2011
GI,371082,水果,2011
GI,370784,蔬菜食用菌,2011
GI,410182,水果,2011
GI,411722,粮油,2011
GI,411722,蔬菜食用菌,2011
GI,411525,蔬菜食用菌,2011
GI,410184,蔬菜食用菌,2011
GI,500238,水产,2011
GI,510812,蔬菜食用菌,2011
GI,511722,蔬菜食用菌,2011
GI,511722,蔬菜食用菌,2011
GI,513335,蔬菜食用菌,2011
GI,611023,茶,2011
GI,120115,蔬菜食用菌,2011
GI,120115,蔬菜食用菌,2011
GI,120116,水果,2011
GI,130525,蔬菜食用菌,2011
GI,130525,蔬菜食用菌,2011
GI,130828,蔬菜食用菌,2011
GI,131002,水果,2011
GI,131128,水果,2011
GI,131081,水产,2011
GI,141033,蔬菜食用菌,2011
GI,141033,水果,2011
GI,140122,粮油,2011
GI,141021,蔬菜食用菌,2011
GI,150624,水产,2011
GI,210922,粮油,2011
GI,230826,粮油,2011
GI,321323,粮油,2011
GI,320684,畜禽,2011
GI,330122,茶,2011
GI,360881,蔬菜食用菌,2011
GI,360821,蔬菜食用菌,2011
GI,361123,蔬菜食用菌,2011
GI,361127,蔬菜食用菌,2011
GI,360424,茶,2011
GI,361021,水产,2011
GI,371312,蔬菜食用菌,2011
GI,371327,水果,2011
GI,371325,水果,2011
GI,371326,水果,2011
GI,371329,粮油,2011
GI,371083,畜禽,2011
GI,371328,水果,2011
GI,371102,粮油,2011
GI,410923,蔬菜食用菌,2011
GI,410108,粮油,2011
GI,410122,水果,2011
GI,411282,蔬菜食用菌,2011
GI,421222,畜禽,2011
GI,420881,水果,2011
GI,420822,水产,2011
GI,420822,水产,2011
GI,430623,蔬菜食用菌,2011
GI,430623,水果,2011
GI,430623,水产,2011
GI,511523,水果,2011
GI,510503,水果,2011
GI,511423,茶,2011
GI,510503,茶,2011
GI,611021,水果,2011
GI,610523,水果,2011
GI,610523,水果,2011
GI,610430,粮油,2011
GI,130532,蔬菜食用菌,2012
GI,230624,水产,2012
GI,321282,蔬菜食用菌,2012
GI,320684,畜禽,2012
GI,350921,水果,2012
GI,370784,水果,2012
GI,371321,水果,2012
GI,370785,蔬菜食用菌,2012
GI,370785,蔬菜食用菌,2012
GI,371326,畜禽,2012
GI,420624,粮油,2012
GI,511781,畜禽,2012
GI,510121,畜禽,2012
GI,510681,畜禽,2012
GI,530424,水果,2012
GI,530424,水果,2012
GI,530124,水果,2012
GI,620302,水果,2012
GI,630223,畜禽,2012
GI,130881,蔬菜食用菌,2012
GI,130427,蔬菜食用菌,2012
GI,141124,水果,2012
GI,140522,粮油,2012
GI,152921,畜禽,2012
GI,150428,畜禽,2012
GI,150428,畜禽,2012
GI,210624,中药材,2012
GI,210782,水果,2012
GI,230621,粮油,2012
GI,231085,粮油,2012
GI,230225,粮油,2012
GI,232721,蔬菜食用菌,2012
GI,310116,畜禽,2012
GI,320481,畜禽,2012
GI,330782,加工食品,2012
GI,350429,畜禽,2012
GI,350425,茶,2012
GI,350783,茶,2012
GI,371083,畜禽,2012
GI,370502,水果,2012
GI,371102,蔬菜食用菌,2012
GI,370832,畜禽,2012
GI,370881,水果,2012
GI,371302,蔬菜食用菌,2012
GI,370784,水果,2012
GI,370785,粮油,2012
GI,371322,蔬菜食用菌,2012
GI,371328,畜禽,2012
GI,370832,畜禽,2012
GI,370683,畜禽,2012
GI,371327,水产,2012
GI,370783,蔬菜食用菌,2012
GI,370784,粮油,2012
GI,370783,畜禽,2012
GI,370784,蔬菜食用菌,2012
GI,410726,粮油,2012
GI,421321,畜禽,2012
GI,420527,茶,2012
GI,430723,水果,2012
GI,431129,水果,2012
GI,445122,畜禽,2012
GI,500235,水果,2012
GI,500119,茶,2012
GI,500119,茶,2012
GI,510822,畜禽,2012
GI,510503,水果,2012
GI,511325,水果,2012
GI,510522,水果,2012
GI,511324,水果,2012
GI,510921,水果,2012
GI,513225,水果,2012
GI,511011,蔬菜食用菌,2012
GI,510182,蔬菜食用菌,2012
GI,513401,畜禽,2012
GI,511723,畜禽,2012
GI,513426,畜禽,2012
GI,520111,蔬菜食用菌,2012
GI,530326,水果,2012
GI,530326,蔬菜食用菌,2012
GI,532329,畜禽,2012
GI,530625,畜禽,2012
GI,530326,畜禽,2012
GI,530112,蔬菜食用菌,2012
GI,532525,畜禽,2012
GI,540237,畜禽,2012
GI,611002,水果,2012
GI,610523,粮油,2012
GI,621025,蔬菜食用菌,2012
GI,620922,水果,2012
GI,621123,中药材,2012
GI,620302,蔬菜食用菌,2012
GI,620525,畜禽,2012
GI,620623,畜禽,2012
GI,620321,粮油,2012
GI,141082,水果,2012
GI,211381,蔬菜食用菌,2012
GI,211381,蔬菜食用菌,2012
GI,210521,中药材,2012
GI,210726,畜禽,2012
GI,321023,水果,2012
GI,350824,蔬菜食用菌,2012
GI,350424,粮油,2012
GI,370323,蔬菜食用菌,2012
GI,370323,蔬菜食用菌,2012
GI,370323,粮油,2012
GI,370113,茶,2012
GI,410181,中药材,2012
GI,420923,蔬菜食用菌,2012
GI,430725,蔬菜食用菌,2012
GI,500229,水果,2012
GI,500112,水果,2012
GI,530323,粮油,2012
GI,540426,水果,2012
GI,540233,蔬菜食用菌,2012
GI,611022,水果,2012
GI,620321,蔬菜食用菌,2012
GI,130435,粮油,2013
GI,140121,水果,2013
GI,141002,水果,2013
GI,141182,蔬菜食用菌,2013
GI,140524,畜禽,2013
GI,141182,粮油,2013
GI,141031,水果,2013
GI,141024,蔬菜食用菌,2013
GI,150721,粮油,2013
GI,150721,粮油,2013
GI,150929,畜禽,2013
GI,150721,蔬菜食用菌,2013
GI,210321,畜禽,2013
GI,211421,水果,2013
GI,231222,粮油,2013
GI,230921,水果,2013
GI,230224,粮油,2013
GI,230224,粮油,2013
GI,231085,畜禽,2013
GI,230624,粮油,2013
GI,320682,畜禽,2013
GI,330726,水果,2013
GI,340111,水果,2013
GI,340181,水产,2013
GI,340181,水产,2013
GI,340421,粮油,2013
GI,350981,水果,2013
GI,350981,水果,2013
GI,350881,粮油,2013
GI,361123,蔬菜食用菌,2013
GI,361124,茶,2013
GI,361123,畜禽,2013
GI,361002,水果,2013
GI,361124,蔬菜食用菌,2013
GI,360923,蔬菜食用菌,2013
GI,360123,畜禽,2013
GI,361123,茶,2013
GI,370481,水果,2013
GI,370112,水果,2013
GI,370828,畜禽,2013
GI,371002,水果,2013
GI,370829,蔬菜食用菌,2013
GI,371082,粮油,2013
GI,371082,粮油,2013
GI,370724,畜禽,2013
GI,370681,中药材,2013
GI,370783,水产,2013
GI,410328,水果,2013
GI,410185,茶,2013
GI,420881,蔬菜食用菌,2013
GI,421122,粮油,2013
GI,420802,水产,2013
GI,420303,水产,2013
GI,429005,水产,2013
GI,420583,水果,2013
GI,421083,畜禽,2013
GI,420881,加工食品,2013
GI,420529,茶,2013
GI,430623,畜禽,2013
GI,445122,茶,2013
GI,500229,蔬菜食用菌,2013
GI,500101,粮油,2013
GI,510681,水果,2013
GI,513223,水果,2013
GI,511424,水果,2013
GI,510422,水果,2013
GI,511921,蔬菜食用菌,2013
GI,533122,茶,2013
GI,532322,茶,2013
GI,530523,畜禽,2013
GI,530502,粮油,2013
GI,610829,水果,2013
GI,620721,畜禽,2013
GI,630121,畜禽,2013
GI,630222,畜禽,2013
GI,632821,茶,2013
GI,630223,畜禽,2013
GI,130281,蔬菜食用菌,2013
GI,140821,水产,2013
GI,231084,水产,2013
GI,320925,水产,2013
GI,341823,蔬菜食用菌,2013
GI,350423,粮油,2013
GI,361127,加工食品,2013
GI,371083,畜禽,2013
GI,371082,水产,2013
GI,410328,水果,2013
GI,420526,水果,2013
GI,440783,畜禽,2013
GI,511723,畜禽,2013
GI,511781,畜禽,2013
GI,532927,水果,2013
GI,532527,粮油,2013
GI,532926,畜禽,2013
GI,610528,水果,2013
GI,130527,粮油,2013
GI,140981,水果,2013
GI,141124,水果,2013
GI,140921,水果,2013
GI,140802,水果,2013
GI,140821,水果,2013
GI,141023,蔬菜食用菌,2013
GI,140823,蔬菜食用菌,2013
GI,140822,蔬菜食用菌,2013
GI,140525,蔬菜食用菌,2013
GI,140882,蔬菜食用菌,2013
GI,140828,蔬菜食用菌,2013
GI,140322,粮油,2013
GI,140927,粮油,2013
GI,140521,畜禽,2013
GI,152522,畜禽,2013
GI,210881,水果,2013
GI,220582,畜禽,2013
GI,310114,畜禽,2013
GI,321283,粮油,2013
GI,331122,粮油,2013
GI,360924,蔬菜食用菌,2013
GI,361021,畜禽,2013
GI,360923,畜禽,2013
GI,371083,畜禽,2013
GI,371425,水果,2013
GI,370883,水果,2013
GI,371121,水果,2013
GI,371622,畜禽,2013
GI,370829,中药材,2013
GI,371325,水果,2013
GI,370523,蔬菜食用菌,2013
GI,371428,蔬菜食用菌,2013
GI,371722,中药材,2013
GI,370883,畜禽,2013
GI,370829,畜禽,2013
GI,370829,畜禽,2013
GI,371524,水产,2013
GI,411330,水果,2013
GI,410425,蔬菜食用菌,2013
GI,410527,粮油,2013
GI,422822,茶,2013
GI,429021,茶,2013
GI,429006,蔬菜食用菌,2013
GI,421126,蔬菜食用菌,2013
GI,431129,茶,2013
GI,500108,加工食品,2013
GI,500117,蔬菜食用菌,2013
GI,500229,水产,2013
GI,511823,水果,2013
GI,511325,水果,2013
GI,510421,粮油,2013
GI,510421,蔬菜食用菌,2013
GI,611024,水果,2013
GI,610402,粮油,2013
GI,620523,蔬菜食用菌,2013
GI,620921,蔬菜食用菌,2013
GI,620922,中药材,2013
GI,620521,畜禽,2013
GI,621123,畜禽,2013
GI,621022,畜禽,2013
GI,621126,畜禽,2013
GI,630222,水果,2013
GI,630222,蔬菜食用菌,2013
GI,630223,畜禽,2013
GI,630222,畜禽,2013
GI,632623,畜禽,2013
GI,632626,畜禽,2013
GI,150624,畜禽,2014
GI,210881,水果,2014
GI,210881,水果,2014
GI,230921,水果,2014
GI,320803,蔬菜食用菌,2014
GI,320684,蔬菜食用菌,2014
GI,320923,水果,2014
GI,320206,水果,2014
GI,321283,粮油,2014
GI,330326,茶,2014
GI,341524,茶,2014
GI,350981,水果,2014
GI,361025,畜禽,2014
GI,371082,水果,2014
GI,370724,水果,2014
GI,370724,畜禽,2014
GI,370832,畜禽,2014
GI,370772,水产,2014
GI,411525,茶,2014
GI,420526,粮油,2014
GI,420581,茶,2014
GI,420625,粮油,2014
GI,420582,粮油,2014
GI,421223,中药材,2014
GI,421224,畜禽,2014
GI,430181,水果,2014
GI,441882,蔬菜食用菌,2014
GI,440114,蔬菜食用菌,2014
GI,510114,水果,2014
GI,510303,水果,2014
GI,513225,畜禽,2014
GI,510503,畜禽,2014
GI,532527,水果,2014
GI,532929,水果,2014
GI,530128,畜禽,2014
GI,530325,畜禽,2014
GI,532929,畜禽,2014
GI,540233,水产,2014
GI,620201,蔬菜食用菌,2014
GI,621223,中药材,2014
GI,632625,畜禽,2014
GI,632224,畜禽,2014
GI,632224,畜禽,2014
GI,130684,水果,2014
GI,341204,水果,2014
GI,340223,畜禽,2014
GI,350721,蔬菜食用菌,2014
GI,350924,茶,2014
GI,350123,茶,2014
GI,360983,粮油,2014
GI,370983,水果,2014
GI,371525,畜禽,2014
GI,371524,畜禽,2014
GI,371722,畜禽,2014
GI,420526,水果,2014
GI,420528,水果,2014
GI,420624,粮油,2014
GI,510503,畜禽,2014
GI,520203,畜禽,2014
GI,520523,蔬菜食用菌,2014
GI,522729,畜禽,2014
GI,621227,蔬菜食用菌,2014
GI,130224,粮油,2014
GI,150821,水果,2014
GI,150821,粮油,2014
GI,210921,粮油,2014
GI,211021,水果,2014
GI,230112,粮油,2014
GI,231085,蔬菜食用菌,2014
GI,231182,粮油,2014
GI,231182,粮油,2014
GI,340181,蔬菜食用菌,2014
GI,370883,粮油,2014
GI,370982,蔬菜食用菌,2014
GI,371521,蔬菜食用菌,2014
GI,371524,水产,2014
GI,371324,蔬菜食用菌,2014
GI,370724,水果,2014
GI,370923,水产,2014
GI,420881,蔬菜食用菌,2014
GI,420881,畜禽,2014
GI,421181,蔬菜食用菌,2014
GI,420303,水果,2014
GI,420624,茶,2014
GI,431229,中药材,2014
GI,430723,粮油,2014
GI,430725,畜禽,2014
GI,500231,水果,2014
GI,500117,蔬菜食用菌,2014
GI,500235,水果,2014
GI,513422,水果,2014
GI,510411,水果,2014
GI,511823,水果,2014
GI,511723,畜禽,2014
GI,511112,蔬菜食用菌,2014
GI,511527,茶,2014
GI,513324,畜禽,2014
GI,513323,畜禽,2014
GI,513228,畜禽,2014
GI,513228,畜禽,2014
GI,520327,茶,2014
GI,520523,茶,2014
GI,530322,畜禽,2014
GI,530324,畜禽,2014
GI,610116,水果,2014
GI,610481,蔬菜食用菌,2014
GI,620924,畜禽,2014
GI,632801,畜禽,2014
GI,632801,畜禽,2014
GI,630106,粮油,2014
GI,632222,畜禽,2014
GI,632222,畜禽,2014
GI,110108,粮油,2015
GI,110115,畜禽,2015
GI,140826,水果,2015
GI,141127,蔬菜食用菌,2015
GI,140321,畜禽,2015
GI,210522,粮油,2015
GI,231182,加工食品,2015
GI,310114,水果,2015
GI,340103,水果,2015
GI,371481,水果,2015
GI,371581,水果,2015
GI,371083,畜禽,2015
GI,371082,中药材,2015
GI,420322,水果,2015
GI,420527,水果,2015
GI,420117,蔬菜食用菌,2015
GI,421083,蔬菜食用菌,2015
GI,421083,粮油,2015
GI,420325,粮油,2015
GI,430725,畜禽,2015
GI,510727,水果,2015
GI,511002,水果,2015
GI,511722,粮油,2015
GI,520623,茶,2015
GI,530325,蔬菜食用菌,2015
GI,530623,畜禽,2015
GI,610122,水果,2015
GI,610526,水果,2015
GI,610824,蔬菜食用菌,2015
GI,610824,蔬菜食用菌,2015
GI,620721,畜禽,2015
GI,630121,蔬菜食用菌,2015
GI,140830,蔬菜食用菌,2015
GI,140221,畜禽,2015
GI,150922,蔬菜食用菌,2015
GI,150422,粮油,2015
GI,220283,粮油,2015
GI,230421,粮油,2015
GI,230129,粮油,2015
GI,231182,畜禽,2015
GI,310120,水果,2015
GI,320681,蔬菜食用菌,2015
GI,320623,畜禽,2015
GI,330784,水果,2015
GI,330781,蔬菜食用菌,2015
GI,350423,粮油,2015
GI,360921,水果,2015
GI,370602,中药材,2015
GI,421182,蔬菜食用菌,2015
GI,469030,水果,2015
GI,500240,蔬菜食用菌,2015
GI,513423,蔬菜食用菌,2015
GI,513428,水产,2015
GI,513428,水产,2015
GI,520122,粮油,2015
GI,522728,水果,2015
GI,610702,水果,2015
GI,610729,蔬菜食用菌,2015
GI,610729,蔬菜食用菌,2015
GI,610222,粮油,2015
GI,610729,畜禽,2015
GI,620122,水果,2015
GI,620122,水果,2015
GI,620602,畜禽,2015
GI,621202,蔬菜食用菌,2015
GI,620321,畜禽,2015
GI,632221,蔬菜食用菌,2015
GI,632823,畜禽,2015
GI,140925,蔬菜食用菌,2015
GI,140932,粮油,2015
GI,140932,畜禽,2015
GI,150785,蔬菜食用菌,2015
GI,150929,畜禽,2015
GI,230421,蔬菜食用菌,2015
GI,230127,水产,2015
GI,310120,水果,2015
GI,330822,蔬菜食用菌,2015
GI,350125,茶,2015
GI,370830,畜禽,2015
GI,371623,水产,2015
GI,420116,蔬菜食用菌,2015
GI,420582,茶,2015
GI,421083,粮油,2015
GI,420526,茶,2015
GI,421202,茶,2015
GI,430723,茶,2015
GI,441422,水果,2015
GI,440785,蔬菜食用菌,2015
GI,440784,茶,2015
GI,469001,茶,2015
GI,530925,茶,2015
GI,532928,畜禽,2015
GI,540424,蔬菜食用菌,2015
GI,611025,茶,2015
GI,610524,粮油,2015
GI,620122,蔬菜食用菌,2015
GI,620122,粮油,2015
GI,620302,蔬菜食用菌,2015
GI,630121,粮油,2015
GI,632323,畜禽,2015
GI,632323,畜禽,2015
GI,632223,畜禽,2015
GI,632223,畜禽,2015
GI,110117,水果,2016
GI,120115,蔬菜食用菌,2016
GI,152223,粮油,2016
GI,152223,粮油,2016
GI,210624,水产,2016
GI,321311,蔬菜食用菌,2016
GI,331125,水果,2016
GI,330110,水果,2016
GI,340124,蔬菜食用菌,2016
GI,350526,茶,2016
GI,350622,蔬菜食用菌,2016
GI,350122,水产,2016
GI,361021,茶,2016
GI,370782,茶,2016
GI,371482,水果,2016
GI,370983,水果,2016
GI,371321,水果,2016
GI,370982,水果,2016
GI,370321,蔬菜食用菌,2016
GI,370113,中药材,2016
GI,370481,蔬菜食用菌,2016
GI,371122,中药材,2016
GI,371122,粮油,2016
GI,371121,粮油,2016
GI,411330,茶,2016
GI,420881,水果,2016
GI,420525,蔬菜食用菌,2016
GI,420582,粮油,2016
GI,420381,粮油,2016
GI,420602,畜禽,2016
GI,420583,畜禽,2016
GI,420115,水产,2016
GI,430725,茶,2016
GI,441882,水果,2016
GI,440781,粮油,2016
GI,510921,水果,2016
GI,513227,水果,2016
GI,513227,水果,2016
GI,513427,蔬菜食用菌,2016
GI,510181,蔬菜食用菌,2016
GI,510181,茶,2016
GI,532929,茶,2016
GI,532627,茶,2016
GI,532929,畜禽,2016
GI,610424,蔬菜食用菌,2016
GI,610723,粮油,2016
GI,621202,中药材,2016
GI,621102,蔬菜食用菌,2016
GI,630223,粮油,2016
GI,632525,畜禽,2016
GI,632726,畜禽,2016
GI,140822,水果,2016
GI,140829,水果,2016
GI,140521,畜禽,2016
GI,140729,畜禽,2016
GI,150823,水果,2016
GI,222424,蔬菜食用菌,2016
GI,230621,粮油,2016
GI,230524,粮油,2016
GI,230125,粮油,2016
GI,310115,粮油,2016
GI,320681,粮油,2016
GI,320684,蔬菜食用菌,2016
GI,321283,蔬菜食用菌,2016
GI,340223,水产,2016
GI,350721,畜禽,2016
GI,350526,畜禽,2016
GI,370406,蔬菜食用菌,2016
GI,420304,中药材,2016
GI,500241,茶,2016
