provn,countyn,year,sentence
吉林省,白城市通榆县,2023,"
所嵌入式社区养老服务中心和
个农村养老大院"
陕西省,彬州市,2012,"
开工建设新民、底店和韩家3个镇敬老院，在水口、炭店等6个镇试点建设农村互助幸福院，让农村更多的鳏寡老人安享晚年！
八、以创建“平安彬县”为主题，全力推进社会大和谐
坚持和谐社会平安为先，积极探索加强和创新社会管理的新途径、新办法，努力从源头上化解社会矛盾，维护社会稳定，促进社会和谐"
湖北省,沙市区,2020,"健全养老服务体系，推进养老机构标准化建设，打造
个老人儿童快乐之家"
四川省,南江县,2023,槐树养老服务中心改造提升和红塔社区养老综合体建成投用，红塔社区评为“全国示范性老年友好型社区”
吉林省,通化市通化县,2020,健全老年健康服务体系，培育壮大养老服务业，完成东安朝鲜族养老服务中心附属工程项目建设
吉林省,通化市通化县,2016,完成16所乡镇社会福利服务中心改造，筹建东安朝鲜族养老服务中心
福建省,福州市福清市,2013,全面推进社区居家养老工作，新建成20个居家养老服务站
吉林省,通化县,2017,推进社区居家养老服务，加强农村养老大院建设
陕西省,子洲县,2018,建成农村幸福院6个、农村社区服务中心8个
甘肃省,庆阳市镇原县,2023,积极构建“机构+社区+居家健康”养老服务体系，完成3个养老院消防安全改造、县老年人养护院续建项目，建成城关、上肖综合养老服务中心和8个村互助老人幸福院，争取实施县健康养老服务中心项目，不断完善养老服务功能
甘肃省,庆阳市镇原县,2016,"政府工作报告
详细内容
文件名
索引号
全文检索
搜索过于频繁，请输入验证码
地方性法规
行政规范性文件
政府信息公开指南
政府信息公开制度
国家相关制度文件
省部级相关制度文件
市级相关制度文件
县级相关制度文件
法定主动公开内容
领导之窗
县委领导
县人大领导
县政府领导
县政协领导
机构简介
政府会议
通知公告
政府大事记
规划信息
五年规划
专项规划
统计信息
预算决算
县级财政预算决算和“三公”经费
部门财政预算决算和“三公”经费
行政许可
收费项目
行政事业性收费和政府性收费目录清单
政府采购
重大项目
权责清单
行政处罚
双随机一公开
重大民生信息
乡村振兴
应急管理
预警信息
保障性住房
财政资金直达基层
安全生产
生态环境
义务教育
就业创业
法治政府建设
质量监管信息
养老服务
社会保障
医疗卫生
涉农政策
公共文化服务
县域商业建设
助企纾困
人事信息
招考信息
其他法定信息
政府工作报告
政务督查
政策解读
新闻发布会
建议提案办理
政府网站监管年度报表
政府文件
县政府文件
镇政办发
镇政发
政府信息公开年报
2024年
县政府信息公开工作年度报告
县政府组成部门
2023年
县政府信息公开工作年度报告
县政府组成部门
2022年
县政府信息公开工作年度报告
县政府组成部门
2021年
县政府信息公开工作年度报告
县政府组成部门
2020年
县政府信息公开工作年度报告
县政府组成部门
2019年
县政府信息公开工作年度报告
县政府组成部门
2018年
县政府信息公开工作年度报告
县政府组成部门
2017年
县政府信息公开工作年度报告
县政府组成部门
历年报告
依申请公开
乡镇部门平台链接
索引号：
3070211020000013000000/2025011700000011
发布机构：
生效日期：
2017-01-17
废止日期：
文 号：
所属主题：
政府工作报告
镇原县政府工作报告（2016）
来源：
发布时间：2017-01-17
浏览次数：
【字体：
——2016年11月15日在镇原县
第十八届人民代表大会第一次会议上
镇原县人民政府县长 侯志强
各位代表：
现在，我代表县人民政府向大会作工作报告，请予审议，并请各位政协委员和列席人员提出意见"
福建省,漳州市华安县,2025,关切“一老一小”民生需求，新建一批农村福利院、长者食堂，优化生育支持政策，加快开发区托育中心建设，健全普惠托幼服务体系，补齐基本公共服务供给短板
甘肃省,庄浪,2023,"充分发挥公办养老机构兜底保障作用，推广
时间银行
老年餐桌
，为经济困难失能老人、计生特殊家庭老人提供低收费集中托养服务，加快养老服务迭代升级
全面落实
全民参保扩面任务，
城乡居民养老保险、医疗保险参保率均
稳定在
98%
社会养老保险发放率达
100%
"
吉林省,通化市通化县,2020,完善医疗卫生和医养结合的养老服务体系
吉林省,白城市通榆县,2024,"完善城市养老助餐服务网络，新建社区嵌入式养老服务中心
处"
福建省,尤溪县,2022,低保、五保等收入困难群体实现应保尽保，城乡养老服务设施实现全覆盖
吉林省,通榆县,2013,开展残疾人居家养老服务
四川省,邛崃市,2024,完成羊安中心敬老院省级养老服务标准化试点，新增成都市级示范性托育机构1家、婴幼儿托位120个
四川省,巴中市南江县,2022,"
完善“一老一小”服务体系，提升10家城乡社区日间照料中心服务水平，新（改）建正直、集州社区养老综合服务中心，新增养老床位200张以上"
吉林省,通榆县,2023,"
加强社会保障体系建设
创新开设城区老年食堂，规范农村养老大院运营管理，创建省级农村养老示范县"
四川省,巴中市南江县,2018,建成日间照料中心16个
福建省,尤溪县,2017,"加快完善养老服务体系建设，积极引进社会专业养老服务机构，建成县社会福利中心、
座农村幸福院、
个医养结合日间照料中心，确保老年妇女儿童活动中心投入使用"
云南省,元阳县,2023,"
深入实施全民参保计划，
提升养老服务质量和水平，做好最低生活保障等社会救助兜底保障工作，健全完善城乡社会保障体系"
甘肃省,庄浪县,2025,建成乡镇综合养老服务中心2个、村级互助幸福院7个
山东省,兰陵县,2022,完善党群服务中心、幸福院等公益服务设施
云南省,元阳县,2025,全面落实基本医疗、大病保险、基本养老等政策，健全完善“一老一小”服务体系，居家养老、区域养老、老年幸福食堂等项目有序推进
云南省,维西傈僳族自治县,2025,加快推进综合养老服务中心项目建设，探索开展养老服务综合试点工作，努力打造以居家为基础、社区为依托、机构为补充的多层次养老服务体系
山东省,冠县,2017,"
加快推进英国
集团和中心医院合作的
医养结合项目，
开工建设新华康复医养院、10个农村幸福院，建成投用全市首家县级儿童福利院"
四川省,泸县,2014,机关和事业单位管理、人才队伍建设、干部培训、妇女儿童、养老服务、慈善事业取得新成绩
甘肃省,庆阳市环县,2014,建成农村互助老人幸福院27处，完成了车道中心敬老院主体工程
吉林省,通榆县,2025,完善城市养老助餐服务网络，新建社区嵌入式养老服务中心1处
四川省,泸州市泸县,2018,加快发展养老服务事业
福建省,尤溪县,2020,乡镇敬老院改造提升全面完成，建成1个社区居家养老服务照料中心和32个农村幸福院，养老服务体系逐步健全
山东省,寿光市,2024,加快兆祥、龙泉等社区嵌入式养老服务设施配套，改造侯镇等3处镇级综合性养老服务中心，新增照护床位150张以上，推行农村养老设施和助餐服务连锁化、标准化运营管理，健全“一刻钟养老服务圈”
四川省,南江县,2021,年内实现赶场敬老院、民康医院扩建项目、正直养老服务综合体建成投用
山东省,栖霞市,2019,提升社会养老服务质量，积极推进养老机构规范化、规模化、品牌化、连锁化发展，抓好社区养老服务中心建设，新建农村老年人日间照料中心3处
甘肃省,秦安,2015,新建老年日间照料中心13所
福建省,福州市福清市,2018,建成7个社区居家养老照料中心，盘活用好镇敬老院资源，支持社会力量兴办养老服务机构，着力构建“医养结合”养老新模式，更好地满足人民群众多层次、多样化的健康养老需求
四川省,南江县,2017,按照“小组微生”的要求，遵循“建改保”的原则，坚持巴山新居建设与旧村落改造、传统村落保护、易地扶贫搬迁、农村廉租房、美丽幸福院建设一体推进，既改善人居环境，又留住美丽乡愁
四川省,巴中市南江县,2023,抓好“一老一小”服务，实施居家养老服务、失能老人护理床位改造，加快下两区域性养老服务中心建设
甘肃省,庄浪,2016,完善社会服务设施，鼓励民间资本参与社会福利事业，新建城乡日间照料中心10个，县中心敬老院、残疾人托养服务中心、殡仪馆建成投用
陕西省,子洲县,2021,四是建设幸福院、社区日间照料中心22个
福建省,福鼎市,2015,稳步推进社会养老工作，建成6所农村敬老院、5处农村五保幸福园和30个社区居家养老服务站
甘肃省,秦安县,2013,"政府工作报告
机关简介
县政府组成部门
政府直属事业单位
政府派出单位
乡镇人民政府
权责清单
政府会议
政府常务会议
政府全体会议
人事信息
规划信息
国民经济和社会发展规划
专项计划
城乡规划
统计信息
统计公报
统计数据
财政信息
财政预算
财政决算
财政报告
减税降费
重大决策预公开
重大决策草案公开
草案解读和意见征集结果公开
收费信息
收费项目
价格信息
重大建设项目
重大民生信息
义务教育
社会救助
养老服务
公共法律服务
稳岗就业
社会保险
农村集体土地征收
生态环境保护
保障性住房
农村危房改造
市政服务
国有土地上房屋征收与补偿
城市综合执法
涉农补贴
公共文化服务
医疗卫生
安全生产
食品药品监管
巩固拓展脱贫攻坚成果
乡村振兴
饮水安全
招考信息
行政许可
行政处罚
公共资源交易
政策解读
中央政策解读
省政策解读
市政策解读
县政策解读
回应关切
网民留言
辟谣平台
两案办理
人大代表建议办理
政协委员提案办理
疫情防控
政府采购
政策文件
秦政发文件
秦政办发文件
秦政任文件
政府信息公开年报
2024年
2024年秦安县
2024年县政府部门
2024年乡镇人民政府
2023年
2023年秦安县
2023年县政府部门
2023年乡镇人民政府
2022年
2022年秦安县
2022年县政府部门
2022年乡镇人民政府
2021年
2021年秦安县
2021年县政府部门
2021年乡镇人民政府
2020年
2020年秦安县
2020年县政府部门
2020年乡镇人民政府
2019年
2019年秦安县
2019年县政府部门
2019年乡镇人民政府
2018年
2018年秦安县
2018年县政府部门
2018年乡镇人民政府
2017年
2017年秦安县
2017年县政府部门
2017年乡镇人民政府
2016年
2016年秦安县
2016年县政府部门
2016年乡镇人民政府
2015年
2014年
2013年
2012年
2011年
依申请公开
申请须知
申请指南
申请流程
表格下载
在线申请
申请结果查询
政府部门信息公开
乡镇政府信息公开
搜索位置：
匹配度：
排序：
相关程度
发布日期
当前位置：
政府信息公开
法定主动公开内容
履职依据
政府工作报告
2013年2月27日程江芬作《政府工作报告》
发布机构：县残疾人联合会　索引号：1600651980024930　时间：2015-12-24
作者：
【字体：
【下载Word】
【下载PDF】
分享到：
微信扫一扫：分享
微信里点“发现”，扫一下
二维码便可将本文分享至朋友圈"
云南省,红河县,2025,居家养老服务中心实现城市社区全覆盖，儿童之家城乡覆盖率达100%
四川省,泸州市泸县,2015,完善养老服务机构建设运营补贴机制，规划和推出3个以上社会化养老服务项目，推动公益性、营利性养老服务机构互融互促
湖北省,沙市区,2016,"
【3】“六位一体”养老模式：社区常年向老年人提供居家养老、社区照顾、义工援助、邻里互助、亲情慰藉、协会维权等6大类服务"
甘肃省,庄浪,2015,继续推进农村老人互助幸福院建设，开展城市社区居民养老服务和农村留守老人日间照料帮扶工作
甘肃省,秦安县,2025,"鼓励引导社会力量参与基本养老服务，推动康复托养中心、城乡老年养护院和
个村级互助幸福院实体化运营，发展多样化居家养老服务"
湖北省,鹤峰县,2017,支持社会力量兴办养老机构，继续推进农村福利院改造，探索建设农村空巢失能老人幸福院
四川省,南江县,2019,新建区域性养老服务中心1个
吉林省,辽源市东丰县,2019,"引入社会资本创立社区老年人日间照料中心,医养融合发展迈出坚实步伐"
甘肃省,庆阳市环县,2014,逐步完善社会养老服务体系，完成社会养老服务中心公寓楼和综合服务楼主体工程，新建城市社区老人日间照料中心
湖北省,鹤峰县,2023,加快建设居家社区机构相协调、医养康养相结合的养老服务体系，扩大养老服务有效供给
福建省,福鼎市,2020,"健全养老服务体系，推动社会福利中心投入运营,全面完成乡镇敬老院改扩建，加快推广“公建民营”"
福建省,福鼎市,2023,推动乡镇联合养老服务项目“公建民营”，新建孝老食堂8个，提升农村幸福院28个
湖北省,枣阳市,2014,"
、进一步加快完善养老服务体系建设，改扩建
家农村福利院，新建社区居家养老服务中心和农村老年人互助照料中心
、启动残疾人综合服务中心建设，至少完成规划、设计和腾地工作"
福建省,福清市,2019,"全面推进乡村振兴“八项重点工作”，建成生命公园
家农村幸福院投入运营，
302
个自然村完成“一村一池塘”建设"
湖北省,沙市区,2023,"完善
一老一小
服务体系，
失能半失能老人养护大楼
，实现老年人助餐点街道（镇）全覆盖"
山东省,栖霞市,2024,"
牵头单位：民政局
配合单位：财政局，各镇街
54.扩大普惠养老服务供给，年内完成特殊困难老年人适
老化改造 150 户、独居老年人“安心居家”照护服务 500 户以
牵头单位：民政局
配合单位：财政局，各镇街
五、张湲苹同志牵头重点工作共 11 项
55.大力推行绿色制造，聚焦智能化、数字化现代产业发
展方向，深入开展亩产效益评价和化工企业评级评价，打造绿
色工厂、智能化改造示范企业 3 家以上"
山东省,桓台县,2014,创新养老模式，鼓励社会力量投资兴办养老服务机构，实现城市社区居家养老服务全覆盖
吉林省,永吉县,2021,"加快社区养老服务设施建设，达标率达到
100
％"
四川省,南江县,2024,"
困难老人家庭适老化
640户，建成农村养老服务
34个
"
甘肃省,庆阳市环县,2023,改扩建乡镇综合养老服务中心1所，新建农村互助老人幸福院5所，完成100户农村困难重度残疾人家庭无障碍改造
