setting,system,food_group10,own_price,expenditure
two_point_1_99,unconditional,G03_蔬菜,-1.13391531142906,0.673821633799746
two_point_1_99,unconditional,G04_水果,-1.41012483081688,0.881930099803208
two_point_1_99,unconditional,G05_猪肉,-1.06580408508206,1.02062989428786
two_point_1_99,unconditional,G06_禽类及其他肉类,-1.43727187143937,1.03389824186821
two_point_1_99,unconditional,G07_牛羊肉,-1.21651421075086,1.43648968148023
two_point_1_99,unconditional,G08_海鲜,-1.48183057282428,0.982420081998642
two_point_1_99,unconditional,G09_乳制品,-1.3477126896183,0.96174037980447
two_point_1_99,latent,G01_主食,-7.10371991918572,1.25391755879973
two_point_1_99,latent,G02_食用油,-4.19235896196787,1.42216116901803
two_point_1_99,latent,G03_蔬菜,-1.05861250546114,0.86169782339648
two_point_1_99,latent,G04_水果,-1.53886746665913,0.990989983896001
two_point_1_99,latent,G05_猪肉,-1.15157331870098,1.12394204264329
two_point_1_99,latent,G06_禽类及其他肉类,-1.82496498596437,0.874446607866306
two_point_1_99,latent,G07_牛羊肉,-1.37720249695704,1.30105991335184
two_point_1_99,latent,G08_海鲜,-1.69052441367633,0.92198459138868
two_point_1_99,latent,G09_乳制品,-1.61321297075758,0.977733325609042
