编号,作者_年份,期刊级别,数据层级/区域,调研/数据年份,作物分类,样本量 (N),自由度 (DF),因变量定义 (Y) 及形式,自变量定义 (X) 及形式,样本均值 (Yˉ / Xˉ),模型设定,控内生性,核心回归系数 β,标准误 SE 或 t 值,[轨道一] PCC,[轨道一] SEPCC​,[轨道二] CASM 对接弹性 (Emeta​),CASM 软链接目标,检查结果
P_25,彭继权_2021,核心期刊,微观 / 湖北省,2016,rice/whea/maiz/pota,1682,未报告,主粮单产 (Log),农业机械投入额 (Log),"Yˉ=7.174,Xˉ=4.137",IV-Tobit,1 (IV),1.219,SE = 0.400,0.482,0.03,稻1.22/麦0.81/玉1.11,YieldInt2 (分品种),已修正
P_26,彭继权_2020,核心期刊,微观 / 湖北省,2016,cgrn,1682,未报告,粮食作物种植面积比例 (Level),机械化水平 Mechine (Level),"Yˉ=0.725,Xˉ=0.636",IV-GMM / IV-Tobit,1 (IV),1.104,SE = 0.113,0.168,0.024,弹性 = 1.104,AreaInt2 (趋粮化),已修正
P_27,刘成_2019,核心期刊,宏观 / 15省,2004-2015,whea,180,未报告,小麦生产技术效率 (Level),农机服务比例 ser (Level),"Yˉ=0.7191,Xˉ=0.3008",SFA + 固定效应 FE,1 (FE控制),0.0916,SE = 0.0242,0.162 (转正),0.074,探讨效率 TE,讨论 Efficiency,已修正
P_28,虞松波_2019,核心期刊,宏观 / 15省,1994-2016,whea,345,未报告,小麦成本效率 CE (Level),农业机械化水平 lnmec (Log),"Yˉ=0.827,Xˉ=851.05",SFA + 空间杜宾 SDM,1 (空间控制),0.078 (直接效应),t = 2.409,0.123 (转正),0.053,探讨效率 TE,讨论 Efficiency,已修正
P_29,陈实_2019,核心期刊,宏观 / 湖北,1996-2014,rice,304,未报告,水稻产量 (Log),农业机械总动力 (Log),"Yˉ=105.74,Xˉ=147.46",空间杜宾 SDM,1 (空间控制),-0.0146,SE = 0.0569,0.207,0.056,弹性 = 0.584,YieldInt2 (水稻专项),已修正
P_30,胡祎_2018,核心期刊,宏观 / 15省,2000-2015,whea,240,未报告,小麦生产技术效率 (Level),农机服务使用水平 lev (Log),"Yˉ=0.873,Xˉ=1.916",Translog SFA + Tobit,0,0.0179,SE = 0.0036,0.262,0.062,探讨效率 TE,讨论 Efficiency,已修正
P_31,杨进_2018,核心期刊,微观 / 全国,2009-2014,cgrn,54211,未报告,粮食播种面积占比 (Level),"每亩农业机械作业费用 (村中值, Log)",未报告,面板固定效应 FE,1 (村中值),-0.010,SE = 0.00,-0.009,0.005,弹性 = -0.221,AreaInt2 (成本约束),已修正
E_01,Sang_2026,外文顶刊,微观 / 全国,2019,cgrn,1263,1263,农机服务支出 (Log),信贷获取 (虚拟),"Yˉ=5.801,Xˉ=0.306",CMP 模型,1 (选择偏差),0.473,SE = 0.231,0.057,0.028,半弹性 = 0.473,探讨资本/服务支出机制,
E_02,Li_2023,外文顶刊,微观 / 江苏,2019,rice,1113,1113,水稻单产 (Level),农机施药服务 (虚拟),"Yˉ=1243.08,Xˉ=0.208",控制函数法(CFA),1 (内生性),183.181,SE = 57.319,0.095,0.03,半弹性 = 0.147,YieldInt2 / 环境可持续,
E_03,Wu_2025,外文顶刊,微观 / 全国,2015-2019,cgrn,12795,12795,土地生产率 (Log),农机服务投入 (Log),"Yˉ=6.452,Xˉ=4.053",联立方程模型,1 (系统内生),0.219,SE = 0.016,0.12,0.009,弹性 = 0.219,讨论 Efficiency (性别机制),
E_04,Ding_2025,外文顶刊,微观 / 鲁冀豫晋,2022,whea,1060,1060,单产 (Level),化肥机械服务 FMS(虚拟),"Yˉ=551.48,Xˉ=0.495",多元内生/ESR,1 (自选择),125.07 (ATT),t = 4.08,0.124,0.03,半弹性 = 0.227,YieldInt2 / 绿色化机制,
E_05,Lu_2022,外文顶刊,微观 / 12县,2018,rice,1058,1058,水稻单产 (Level),农机服务采纳 (虚拟),"Yˉ=612.3,Xˉplow​=0.86",MVP+IV(3SLS),1 (内生/联立),48.0 (耕),SE = 16.0,0.092,0.031,半弹性 = 0.078,YieldInt2 (分环节),
E_06,Shi_2026,外文顶刊,微观 / 江西,2023,rice,1097,1097,优质稻种植 (虚拟),农业生产托管 (虚拟),"Yˉ=0.301,Xˉ=0.370",CMP / IV-probit,1 (内生性),0.71,SE = 0.365,0.059,0.03,机制探讨 (离散模型),种植结构调整机制,
E_07,Huang_2024,外文顶刊,宏观 / 110县,2000-2019,cgrn,4400,4400,人均产出/面积 (Log),高标准农田建设 (DID虚拟),"Yˉout​=0.77,Yˉarea​=−1.40",双重差分法 (DID),1 (政策冲击),0.063 (产出),SE = 0.038,0.025,0.015,半弹性 = 0.063 (产出),YieldInt2 (+0.05面积),
E_08,Ma_2018,外文顶刊,微观 / 调研,2017,maiz,493,493,玉米单产 (Level),农机使用强度 (分数),"Yˉ=568.61,Xˉ=2.01",Bi-Ordered Probit+OLS,1 (系统内生),48.455,SE = 15.358,0.141,0.044,弹性 = 0.171,YieldInt2,
E_09,Wang_2024,外文顶刊,宏观 / 县级面板,1998-2016,whea,11268,11268,产量下行风险(偏度) (Level),收获机械化水平 (连续),"Yˉ=−1.821,Xˉ=0.771",矩估计法(Moment),1 (内生控制),1.101 (偏度),SE = 0.426,0.024,0.009,机制探讨 (降风险),风险与生产韧性机制,
E_10,Yang_2023,外文期刊,微观 / 13主产省,2017,cgrn,3472,3472,粮食产量 (Log),农机购置补贴 (Log),"Yˉ=8.053,Xˉ=2.261",2SLS / IV估计,1 (内生性),-0.021,SE = 0.015,-0.024,0.017,不显著，机制探讨,YieldInt2 (资金效应异质),
E_11,Zhou_2020,外文顶刊,微观 / 调研,2016,maiz,493,493,玉米单产 (Level),农机使用 (虚拟),"Yˉ=568.61,Xˉ=0.54",UQR + OLS,1 (选择偏差),50.781,SE = 15.358,0.147,0.044,半弹性 = 0.089,YieldInt2 (异质性),
E_12,Zeng_2025,外文期刊,微观 / 29省,2017,"rice, whea, maiz",2889,2889,作物产量 (Log),劳动力老龄化比例 (Level),"Yˉ=7.234,Xˉ=0.485",Tobit + SEM,1 (系统内生),-0.606,SE = 0.204,-0.055,0.019,半弹性 = -0.606,YieldInt2 (老龄化冲击),
E_13,Li_2024,外文顶刊,微观 / 江苏(CLES),2021,cgrn,2600,2600,种粮面积占比 (Level),金融素养 (Level),"Yˉ=0.540,Xˉ=3.665",计量回归 (OLS),1 (内生性),-0.065,SE = 0.012,-0.106,0.02,弹性 = -0.441,AreaInt2 / 结构机制,
E_14,Zhou_2025,外文顶刊,宏观 / 黄淮海33市,2016-2023,混合,264,264,耕地集约利用SIU (Level),农机购置补贴AMPS (Level),"Yˉ=0.407,Xˉ=3.918",双向固定效应,1 (面板控制),0.053,SE = 0.010,0.31,0.058,弹性 = 0.510,讨论 Efficiency (可持续集约),
E_15,Chandio_2022,外文期刊,宏观 / 全国,1990-2017,cgrn,28,28,粮食总产量 (Log),农业信贷 / R&D (Log),"Yˉ=20.016,XˉAC​=9.034",ARDL 时间序列,1 (序列内生),0.366 (信贷),t = 2.955,0.488,0.165,弹性 = 0.366,资金与技术约束机制,
E_16,Wang_2015,外文期刊,微观 / 江西,2012,rice,360,360,土地生产率 (Log),机械使用 (虚拟),"Yˉ=6046.85,Xˉ=0.99",2SLS / IV估计,1 (内生性),0.155,SE = 0.134,0.061,0.053,不显著 (半弹性=0.155),YieldInt2 (劳动替代机制),
E_17,Wang_2025,外文期刊,微观 / 全国,2019,cgrn,2024,2024,亩均产值 (Log),农机服务采纳 (虚拟),"Yˉ=6.840,Xˉ=0.771",ESR 内生转换,1 (自选择),0.252 (ATT),SE = 0.024,0.227,0.021,半弹性 = 0.252,YieldInt2 / 效率提升,
E_18,Li_2022,外文期刊,微观 / 陕甘宁,2018-2019,混合,935,935,农地输出率 (Level),非农转移比例 (Level),"Yˉ=0.697,Xˉ=0.380",计量回归 (OLS),1 (中介控制),-0.198,SE = 0.046,-0.139,0.032,弹性 = -0.108,YieldInt2 (劳动力约束),
E_19,Zheng_2021,外文期刊,微观 / 调研,2018,混合,558,558,土地生产率 (Log),农机使用强度 (Log),"Yˉ=9.947,Xˉ=6.453",ESR 内生转换,1 (自选择),0.038 (未转入组),SE = 0.032,0.05,0.042,不显著 (弹性=0.038),YieldInt2,
E_20,Sun_2024,外文期刊,微观 / 黑湘苏,2020,rice,708,708,水稻TFP (Level),农机外包服务AMS (比率),"Yˉ=待补录,Xˉ=0.380",2SLS / IV估计,1 (IV),0.134,SE = 0.076,0.066,0.037,半弹性 = 0.134,讨论 Efficiency,
E_21,Chandio_2024,外文顶刊,宏观 / 16主产省,2000-2020,rice,336,336,水稻产量 (Log),财政支出 (Log),"Yˉ=7.151,Xˉ=5.975",CS-ARDL 面板时间序列,1 (序列内生),0.18,SE = 0.041,0.233,0.053,弹性 = 0.180,YieldInt2 (资本投入机制),
E_22,Li_2024,外文期刊,微观 / 山东,2017,混合,351,351,耕地可持续集约利用SICLU (Level),适度规模经营LSO (Level),"Yˉ=0.345,Xˉ=0.420",计量回归 (OLS),待查,0.185,SE = 0.042,0.229,0.052,弹性 = 0.225,讨论 Efficiency,
E_23,Li_2025,外文期刊,宏观 / 31省,2001-2022,cgrn,682,682,粮食单产 (Log),粮食支持政策 (Log),"Yˉ=6.223,Xˉ=6.643",双向固定效应 / IV,1 (IV),0.038,t = 4.39,0.166,0.038,弹性 = 0.038,YieldInt2 (政策补贴),
E_24,Qiao_2023,外文期刊,宏观 / 27省,2000-2016,cgrn,459,459,作物总产量 (Log),机械化水平 (Log),"Yˉ=11.23,Xˉ=3.64",面板固定效应 / IV,1 (IV),0.584,SE = 0.052,0.464,0.041,弹性 = 0.584,YieldInt2 (技术冲击),
E_25,Abate_2021,外文期刊,宏观 / 全国,1978-2017,cgrn,40,40,粮食单产 (Log),农机化水平 (Log),"Yˉ=8.441,Xˉ=8.397",ARDL 面板时间序列,1 (序列内生),0.185,t = 2.135,0.32,0.15,弹性 = 0.185,YieldInt2 / 长期基准,
E_26,Wu_2021,外文期刊,宏观 / 江苏,2001-2017,cgrn,221,221,粮食产量 (Log),农业机械化 (Log),"Yˉ=14.640,Xˉ=13.910",空间杜宾模型 SDM,1 (空间控制),0.079,SE = 0.042,0.125,0.067,弹性 = 0.079,YieldInt2 (溢出/非线性机制),
